,LINK,sector,company_code,company_name
112,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/dcbbank/DCB01,banksprivatesector,DCB01,dcbbank
113,http://www.moneycontrol.com/india/stockpricequote/diversified/dcmshriram/DCM02,diversified,DCM02,dcmshriram
114,http://www.moneycontrol.com/india/stockpricequote/fertilisers/deepakfertilizerspetrochemicalscoprn/DFP,fertilisers,DFP,deepakfertilizerspetrochemicalscoprn
115,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/deltacorp/DC11,constructioncontractingrealestate,DC11,deltacorp
116,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/dennetworks/DN02,mediaentertainment,DN02,dennetworks
117,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/denabank/DB,bankspublicsector,DB,denabank
118,http://www.moneycontrol.com/india/stockpricequote/financehousing/dewanhousingfinancecorporation/DHF,financehousing,DHF,dewanhousingfinancecorporation
119,http://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/dhanukaagritech/DA01,pesticidesagrochemicals,DA01,dhanukaagritech
120,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/dilipbuildcon/DB04,constructioncontractingcivil,DB04,dilipbuildcon
121,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/dishtvindia/DTV,mediaentertainment,DTV,dishtvindia
122,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/divislaboratories/DL03,pharmaceuticals,DL03,divislaboratories
123,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/dlf/D04,constructioncontractingrealestate,D04,dlf
124,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/drlalpathlabs/DLP01,pharmaceuticals,DLP01,drlalpathlabs
125,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/drreddyslaboratories/DRL,pharmaceuticals,DRL,drreddyslaboratories
126,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/eclerxservices/eS06,computerssoftwaremediumsmall,eS06,eclerxservices
127,http://www.moneycontrol.com/india/stockpricequote/financegeneral/edelweissfinancialservices/EC01,financegeneral,EC01,edelweissfinancialservices
128,http://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/eichermotors/EM,autolcvshcvs,EM,eichermotors
129,http://www.moneycontrol.com/india/stockpricequote/sugar/eidparryindia/EID,sugar,EID,eidparryindia
130,http://www.moneycontrol.com/india/stockpricequote/hotels/eih/EIH,hotels,EIH,eih
131,http://www.moneycontrol.com/india/stockpricequote/compressors/elgiequipments/EE01,compressors,EE01,elgiequipments
132,http://www.moneycontrol.com/india/stockpricequote/personalcare/emami/E06,personalcare,E06,emami
133,http://www.moneycontrol.com/india/stockpricequote/auto23wheelers/endurancetechnologies/ET01,auto23wheelers,ET01,endurancetechnologies
134,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/engineersindia/EI14,infrastructuregeneral,EI14,engineersindia
