,LINK,MARKETCAP_RS_CR,P_BY_E,BOOK_VALUE_RS,DIV_PERCENT,MARKET_LOT,INDUSTRY_P_BY_E,EPS_TTM,P_BY_C,PRICE_BY_BOOK,DIV_YIELD_PERCENT,FACE_VALUE,sector,company_code,company_name
148,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/futureconsumer/FVI,9568.17,294.12,6.78,0.0,1,37.91,0.17,166.67,7.37,,6.0,foodprocessing,FVI,futureconsumer
149,http://www.moneycontrol.com/india/stockpricequote/retail/futurelifestylefashions/FLF01,8404.15,76.08,91.76,40.0,1,76.05,5.68,32.35,4.71,0.19,2.0,retail,FLF01,futurelifestylefashions
150,http://www.moneycontrol.com/india/stockpricequote/retail/futureretail/FR,28801.01,1397.93,51.17,0.0,1,145.89,0.41,389.9,11.2,,2.0,retail,FR,futureretail
151,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gailindia/GAI,76706.24,16.61,169.17,112.0,1,11.19,20.48,12.71,2.01,3.29,10.0,oildrillingandexploration,GAI,gailindia
152,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/gatewaydistriparks/GD01,1945.14,51.11,74.05,70.0,1,37.91,3.5,31.22,2.42,3.91,10.0,miscellaneous,GD01,gatewaydistriparks
153,http://www.moneycontrol.com/india/stockpricequote/couriers/gati/G04,825.34,23.93,58.33,40.0,1,53.64,3.18,20.96,1.3,1.05,2.0,couriers,G04,gati
154,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/gayatriprojects/GP10,3041.98,16.17,49.74,0.0,1,28.23,10.05,12.53,3.27,,2.0,constructioncontractingcivil,GP10,gayatriprojects
155,http://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/gepowerindia/AP29,5318.7,200.29,127.48,30.0,1,13.5,3.95,68.74,6.21,0.38,10.0,powertransmissionequipment,AP29,gepowerindia
156,http://www.moneycontrol.com/india/stockpricequote/shipping/greateasternshippingcompany/GES,4260.96,26.61,352.99,101.0,1,16.98,10.62,6.54,0.8,3.57,10.0,shipping,GES,greateasternshippingcompany
157,http://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/getdindia/ATD,7413.83,35.53,48.49,90.0,1,13.5,8.15,24.83,5.97,0.62,2.0,powertransmissionequipment,ATD,getdindia
158,http://www.moneycontrol.com/india/stockpricequote/financehousing/gichousingfinance/GIC,1896.9,10.28,189.9,50.0,1,24.02,34.25,10.25,1.85,1.42,10.0,financehousing,GIC,gichousingfinance
159,http://www.moneycontrol.com/india/stockpricequote/personalcare/gilletteindia/GI22,20987.98,90.42,153.63,1640.0,1,66.93,71.23,77.6,41.93,2.55,10.0,personalcare,GI22,gilletteindia
160,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/glaxosmithklineconsumerhealthcare/GSC04,27438.93,39.19,908.98,700.0,1,64.8,166.47,35.89,7.18,1.07,10.0,foodprocessing,GSC04,glaxosmithklineconsumerhealthcare
161,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glaxosmithklinepharmaceuticals/GSK,23768.51,67.54,245.56,350.0,1,28.83,41.55,60.95,11.43,1.25,10.0,pharmaceuticals,GSK,glaxosmithklinepharmaceuticals
162,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glenmarkpharma/GP08,16439.12,16.21,370.38,200.0,1,28.83,35.95,14.51,1.57,0.34,1.0,pharmaceuticals,GP08,glenmarkpharma
164,http://www.moneycontrol.com/india/stockpricequote/fertilisers/gujaratnarmadavalleyfertilizerschemicals/GNV,6236.18,7.9,295.4,50.0,1,13.56,50.8,5.88,1.36,1.25,10.0,fertilisers,GNV,gujaratnarmadavalleyfertilizerschemicals
165,http://www.moneycontrol.com/india/stockpricequote/cigarettes/godfreyphillipsindia/GPI,3766.18,23.43,337.08,400.0,1,28.8,30.92,14.69,2.15,1.1,2.0,cigarettes,GPI,godfreyphillipsindia
166,http://www.moneycontrol.com/india/stockpricequote/personalcare/godrejconsumerproducts/GCP,83456.05,83.44,64.55,1500.0,1,66.93,14.68,78.52,18.98,1.22,1.0,personalcare,GCP,godrejconsumerproducts
167,http://www.moneycontrol.com/india/stockpricequote/personalcare/godrejindustries/GI23,21124.72,87.47,55.2,175.0,1,66.93,7.18,68.11,11.38,0.28,1.0,personalcare,GI23,godrejindustries
168,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/godrejproperties/GP11,16461.8,78.28,95.58,0.0,1,28.23,9.17,73.18,7.51,,5.0,constructioncontractingrealestate,GP11,godrejproperties
169,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/granulesindia/GI25,2045.45,14.69,40.38,25.0,1,28.83,5.48,9.52,1.99,0.31,1.0,pharmaceuticals,GI25,granulesindia
170,http://www.moneycontrol.com/india/stockpricequote/diversified/grasimindustries/GI01,66139.22,37.39,247.41,275.0,1,21.24,26.9,27.6,4.07,0.55,2.0,diversified,GI01,grasimindustries
171,http://www.moneycontrol.com/india/stockpricequote/engines/greavescotton/GC20,3528.79,17.41,46.01,275.0,1,24.01,8.3,13.84,3.14,3.81,2.0,engines,GC20,greavescotton
172,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/greenplyindustries/GI19,2907.5,21.42,75.25,60.0,1,27.35,11.07,16.11,3.15,0.25,1.0,miscellaneous,GI19,greenplyindustries
173,http://www.moneycontrol.com/india/stockpricequote/abrasives/grindwellnorton/GN,5665.54,38.5,93.18,80.0,1,39.14,13.29,29.92,5.49,0.78,5.0,abrasives,GN,grindwellnorton
174,http://www.moneycontrol.com/india/stockpricequote/financehousing/gruhfinance/GRU,22301.61,61.47,18.88,165.0,1,24.02,4.96,60.98,16.15,1.08,2.0,financehousing,GRU,gruhfinance
175,http://www.moneycontrol.com/india/stockpricequote/fertilisers/gujaratstatefertilizerschemicals/GSF,4182.02,8.79,176.95,110.0,1,13.56,11.94,7.03,0.59,2.1,2.0,fertilisers,GSF,gujaratstatefertilizerschemicals
176,http://www.moneycontrol.com/india/stockpricequote/chemicals/gujaratalkalieschemicals/GAC01,3924.1,7.33,529.95,50.0,1,9.24,72.85,5.92,1.01,0.94,10.0,chemicals,GAC01,gujaratalkalieschemicals
177,http://www.moneycontrol.com/india/stockpricequote/chemicals/gujaratfluorochemicals/GF07,8137.69,16.7,320.78,350.0,1,22.75,44.36,12.73,2.31,0.47,1.0,chemicals,GF07,gujaratfluorochemicals
178,http://www.moneycontrol.com/india/stockpricequote/chemicals/gujaratheavychemicals/GHC,2660.14,7.3,166.48,50.0,1,9.24,37.41,5.61,1.64,1.83,10.0,chemicals,GHC,gujaratheavychemicals
179,http://www.moneycontrol.com/india/stockpricequote/miningminerals/gujaratmineraldevelopmentcorporation/GMD,3378.75,7.77,138.68,150.0,1,14.25,13.67,6.18,0.77,2.82,2.0,miningminerals,GMD,gujaratmineraldevelopmentcorporation
180,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gujaratstatepetronet/GSP02,10109.54,15.12,91.6,15.0,1,15.43,11.86,11.99,1.96,0.84,10.0,oildrillingandexploration,GSP02,gujaratstatepetronet
181,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gujaratgas/GGC,10080.78,34.6,140.64,30.0,1,24.57,21.16,17.9,5.21,0.41,10.0,oildrillingandexploration,GGC,gujaratgas
182,http://www.moneycontrol.com/india/stockpricequote/shipping/gujaratpipavavport/GPP03,5097.87,25.66,45.88,38.0,1,18.42,4.11,16.87,2.3,3.6,10.0,shipping,GPP03,gujaratpipavavport
183,http://www.moneycontrol.com/india/stockpricequote/lubricants/gulfoillubricantsindia/GOL01,4229.21,26.68,103.07,425.0,1,25.3,31.9,25.03,8.26,1.0,2.0,lubricants,GOL01,gulfoillubricantsindia
184,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/hathwaycabledatacom/HCD,2055.47,26.33,12.71,0.0,1,33.06,0.94,11.73,1.95,,2.0,mediaentertainment,HCD,hathwaycabledatacom
185,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/hatsunagroproducts/HAP,9973.97,109.77,59.73,400.0,1,64.8,5.62,37.71,10.33,0.65,1.0,foodprocessing,HAP,hatsunagroproducts
186,http://www.moneycontrol.com/india/stockpricequote/electricequipment/havellsindia/HI01,33944.41,47.65,59.78,400.0,1,46.21,11.39,39.85,9.08,0.74,1.0,electricequipment,HI01,havellsindia
188,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/hcltechnologies/HCL02,129062.18,17.53,186.49,600.0,1,22.18,52.87,15.63,4.97,1.29,2.0,computerssoftware,HCL02,hcltechnologies
189,http://www.moneycontrol.com/india/stockpricequote/financehousing/housingdevelopmentfinancecorporation/HDF,320813.23,26.36,235.51,900.0,1,24.02,72.37,26.25,8.1,0.94,2.0,financehousing,HDF,housingdevelopmentfinancecorporation
190,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/hdfcbank/HDF01,548969.5,31.39,408.18,650.0,1,32.65,67.15,29.85,5.16,0.62,2.0,banksprivatesector,HDF01,hdfcbank
191,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/housingdevelopmentinfrastructure/HDI,898.39,9.41,263.04,0.0,1,28.23,2.2,8.81,0.08,,10.0,constructioncontractingrealestate,HDI,housingdevelopmentinfrastructure
192,http://www.moneycontrol.com/india/stockpricequote/cementmajor/heidelbergcementindia/HCI02,3160.12,23.72,48.55,0.0,1,35.64,5.88,13.49,2.87,,10.0,cementmajor,HCI02,heidelbergcementindia
193,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/heritagefoods/HFI,2830.97,54.38,78.42,40.0,1,64.8,11.22,31.8,7.78,0.33,5.0,foodprocessing,HFI,heritagefoods
194,http://www.moneycontrol.com/india/stockpricequote/auto23wheelers/heromotocorp/HHM,69340.82,18.75,691.43,4250.0,1,21.21,185.14,16.3,5.02,2.45,2.0,auto23wheelers,HHM,heromotocorp
195,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/hexawaretechnologies/HT02,13632.66,32.99,51.93,200.0,1,22.18,13.92,29.48,8.84,0.87,2.0,computerssoftware,HT02,hexawaretechnologies
196,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/himachalfuturisticcommunication/HFC,3588.0,23.16,9.67,0.0,1,33.19,1.25,20.98,2.99,,1.0,telecommunicationsequipment,HFC,himachalfuturisticcommunication
197,http://www.moneycontrol.com/india/stockpricequote/textilessyntheticsilk/himatsingkaseide/HS,2835.57,13.76,129.27,50.0,1,11.47,20.93,10.85,2.23,0.87,5.0,textilessyntheticsilk,HS,himatsingkaseide
198,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/hindustanconstructioncompany/HCC,1240.9,16.08,27.33,0.0,1,28.23,0.76,6.2,0.45,,1.0,constructioncontractingcivil,HCC,hindustanconstructioncompany
199,http://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/hindustancopper/HC07,5764.11,72.44,16.72,0.0,1,19.18,0.86,23.6,3.73,,5.0,metalsnonferrous,HC07,hindustancopper
200,http://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/hindustanzinc/HZ,116513.17,12.72,94.86,1470.0,1,12.56,21.67,10.95,2.91,10.66,2.0,metalsnonferrous,HZ,hindustanzinc
201,http://www.moneycontrol.com/india/stockpricequote/aluminium/hindalcoindustries/HI,51726.0,36.0,210.84,110.0,1,23.07,6.4,16.94,1.09,0.48,1.0,aluminium,HI,hindalcoindustries
202,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/honeywellautomation/HA04,16179.99,64.79,1617.38,100.0,1,36.9,282.45,61.07,11.31,0.05,10.0,telecommunicationsequipment,HA04,honeywellautomation
203,http://www.moneycontrol.com/india/stockpricequote/refineries/hindustanpetroleumcorporation/HPC,39482.24,6.21,120.46,300.0,1,7.49,41.72,4.33,2.15,11.58,10.0,refineries,HPC,hindustanpetroleumcorporation
204,http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/hsil/HSI02,2436.03,32.59,210.91,200.0,1,23.33,10.34,12.91,1.6,1.19,2.0,ceramicsgranite,HSI02,hsil
205,http://www.moneycontrol.com/india/stockpricequote/personalcare/hindustanunilever/HU,355400.4,67.87,32.69,2000.0,1,66.93,24.19,62.19,50.22,1.22,1.0,personalcare,HU,hindustanunilever
206,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/icicibank/ICI02,177195.46,26.14,150.67,125.0,1,32.65,10.54,26.14,1.83,0.91,2.0,banksprivatesector,ICI02,icicibank
207,http://www.moneycontrol.com/india/stockpricequote/financegeneral/iciciprudentiallifeinsurancecompany/IPL01,54156.31,33.44,47.81,78.0,1,54.92,11.28,33.44,7.89,2.07,10.0,financegeneral,IPL01,iciciprudentiallifeinsurancecompany
208,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/icra/ICR,3258.33,32.48,559.34,270.0,1,38.62,101.3,31.64,5.88,0.82,10.0,miscellaneous,ICR,icra
211,http://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/idfc/IDF,7391.12,49.78,61.38,0.0,1,5.28,0.93,48.23,0.75,,10.0,financetermlendinginstitutions,IDF,idfc
212,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/idfcbank/IDF01,13241.98,15.44,45.65,7.5,1,32.65,2.52,12.97,0.85,1.93,10.0,banksprivatesector,IDF01,idfcbank
214,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/indraprasthagas/IG04,17776.52,26.51,51.39,85.0,1,31.13,9.58,20.87,4.94,0.67,2.0,oildrillingandexploration,IG04,indraprasthagas
215,http://www.moneycontrol.com/india/stockpricequote/financegeneral/iiflholdings/II15,21375.37,104.52,47.01,225.0,1,34.92,6.41,104.36,14.25,0.67,2.0,financegeneral,II15,iiflholdings
216,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/ilandfstransportationnetworks/ITN,1296.1,5.15,93.66,20.0,1,25.11,7.65,4.73,0.42,5.08,10.0,infrastructuregeneral,ITN,ilandfstransportationnetworks
217,http://www.moneycontrol.com/india/stockpricequote/cementmajor/indiacements/IC,3269.11,32.52,165.25,10.0,1,35.64,3.25,9.17,0.64,0.95,10.0,cementmajor,IC,indiacements
218,http://www.moneycontrol.com/india/stockpricequote/financehousing/indiabullshousingfinance/IHF01,48546.26,13.61,361.84,1350.0,1,34.92,83.61,13.51,3.15,2.37,2.0,financehousing,IHF01,indiabullshousingfinance
220,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/indiabullsventures/IS13,29453.41,566.1,38.01,50.0,1,34.92,0.86,547.02,12.81,0.21,2.0,financeinvestments,IS13,indiabullsventures
221,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/indianbank/IB04,16185.83,12.86,329.53,0.0,1,11.67,26.21,10.82,1.02,,10.0,bankspublicsector,IB04,indianbank
222,http://www.moneycontrol.com/india/stockpricequote/hotels/indianhotelscompany/IHC,15698.21,109.09,34.48,40.0,1,65.7,1.21,53.01,3.83,0.3,1.0,hotels,IHC,indianhotelscompany
223,http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/indocountindustries/ICI07,1223.88,9.34,48.51,40.0,1,13.57,6.64,7.58,1.28,1.29,2.0,textilesspinningcottonblended,ICI07,indocountindustries
224,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/indocoremedies/IR05,1679.9,40.78,75.21,80.0,1,28.83,4.47,15.42,2.42,0.88,2.0,pharmaceuticals,IR05,indocoremedies
225,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/indusindbank/IIB,116442.94,32.29,397.45,60.0,1,32.65,60.06,32.29,4.88,0.31,10.0,banksprivatesector,IIB,indusindbank
226,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/infibeamincorporation/IIL03,10125.19,1018.67,12.54,0.0,1,751.13,0.15,191.0,12.19,,1.0,miscellaneous,IIL03,infibeamincorporation
227,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/infoedgeindia/IEI01,14447.06,79.21,177.69,45.0,1,37.91,14.96,70.83,6.67,0.38,10.0,miscellaneous,IEI01,infoedgeindia
228,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/infosys/IT,285410.81,17.67,290.74,515.0,1,22.18,73.97,16.25,4.49,1.97,5.0,computerssoftware,IT,infosys
229,http://www.moneycontrol.com/india/stockpricequote/compressors/ingersollrandindia/IRI01,1688.89,19.0,364.43,60.0,1,31.51,28.16,16.64,1.47,1.12,10.0,compressors,IRI01,ingersollrandindia
230,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/inoxleisure/INO01,2501.15,21.81,72.59,0.0,1,33.06,11.89,12.42,3.57,,10.0,mediaentertainment,INO01,inoxleisure
232,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/intellectdesignarena/IDA,2434.72,74.12,55.75,0.0,1,22.18,2.61,41.96,3.47,,5.0,computerssoftware,IDA,intellectdesignarena
233,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/interglobeaviation/IA04,41785.02,18.64,157.24,340.0,1,17.26,58.33,15.6,6.91,3.13,10.0,transportlogistics,IA04,interglobeaviation
235,http://www.moneycontrol.com/india/stockpricequote/refineries/indianoilcorporation/IOC,151455.68,7.1,102.81,190.0,1,7.49,21.98,5.33,1.52,12.18,10.0,refineries,IOC,indianoilcorporation
236,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ipcalaboratories/IL,8801.06,37.75,214.34,50.0,1,28.83,18.45,21.6,3.25,0.14,2.0,pharmaceuticals,IL,ipcalaboratories
237,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/irbinfrastructuredevelopers/IID01,7417.35,16.7,83.92,50.0,1,28.23,12.64,16.7,2.51,2.37,10.0,infrastructuregeneral,IID01,irbinfrastructuredevelopers
238,http://www.moneycontrol.com/india/stockpricequote/engineeringheavy/isgecheavyengineering/SIS06,3772.95,31.71,1692.49,300.0,1,21.24,161.81,20.27,3.03,0.58,10.0,engineeringheavy,SIS06,isgecheavyengineering
239,http://www.moneycontrol.com/india/stockpricequote/cigarettes/itc/ITC,324695.27,28.92,42.12,515.0,1,28.8,9.2,26.26,6.32,1.94,1.0,cigarettes,ITC,itc
240,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/itdcementationindia/ITD03,2178.27,25.77,36.03,40.0,1,28.23,4.92,15.6,3.52,0.32,1.0,constructioncontractingcivil,ITD03,itdcementationindia
241,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/jkumarinfraprojects/KI01,1702.47,12.47,201.62,40.0,1,28.23,18.05,8.13,1.12,0.89,5.0,constructioncontractingcivil,KI01,jkumarinfraprojects
242,http://www.moneycontrol.com/india/stockpricequote/cementmajor/jkcement/JKC03,6096.61,17.83,323.51,80.0,1,35.64,48.89,11.54,2.69,0.92,10.0,cementmajor,JKC03,jkcement
243,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/jagranprakashan/JP12,4221.19,15.87,62.08,150.0,1,14.79,8.54,12.11,2.18,2.21,2.0,mediaentertainment,JP12,jagranprakashan
244,http://www.moneycontrol.com/india/stockpricequote/steelgpgcsheets/jaicorp/JC08,2583.95,105.69,62.13,50.0,1,56.76,1.37,64.93,2.33,0.35,1.0,steelgpgcsheets,JC08,jaicorp
245,http://www.moneycontrol.com/india/stockpricequote/plastics/jainirrigationsystems/JIS02,3824.5,13.61,92.69,37.5,1,13.61,5.66,8.11,0.83,0.97,2.0,plastics,JIS02,jainirrigationsystems
246,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/jaiprakashassociates/JA02,3904.09,11.07,32.52,0.0,1,28.23,1.45,4.55,0.49,,2.0,infrastructuregeneral,JA02,jaiprakashassociates
247,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/jbchemicalspharmaceuticals/JBC01,2156.94,16.85,181.36,50.0,1,28.83,15.32,11.73,1.42,0.39,2.0,pharmaceuticals,JBC01,jbchemicalspharmaceuticals
250,http://www.moneycontrol.com/india/stockpricequote/steellarge/jindalstainlesshisar/JSH,3173.32,8.02,53.31,0.0,1,9.98,16.77,4.79,2.52,,2.0,steellarge,JSH,jindalstainlesshisar
251,http://www.moneycontrol.com/india/stockpricequote/packaging/jindalpolyfilms/JPF01,940.09,64.67,422.11,10.0,1,22.08,3.32,8.06,0.51,0.47,10.0,packaging,JPF01,jindalpolyfilms
252,http://www.moneycontrol.com/india/stockpricequote/steeltubespipes/jindalsaw/JS08,2538.85,6.58,186.07,50.0,1,17.39,12.07,3.95,0.43,1.26,2.0,steeltubespipes,JS08,jindalsaw
254,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/jammukashmirbank/JKB,2828.84,13.96,105.64,0.0,1,32.65,3.64,13.96,0.48,,1.0,banksprivatesector,JKB,jammukashmirbank
255,http://www.moneycontrol.com/india/stockpricequote/cementmajor/jklakshmicement/JKL01,3628.36,43.19,124.55,15.0,1,35.64,7.14,13.78,2.48,0.24,5.0,cementmajor,JKL01,jklakshmicement
256,http://www.moneycontrol.com/india/stockpricequote/tyres/jktyreindustries/JKT01,2764.86,64.16,75.7,125.0,1,25.91,1.9,12.67,1.61,2.05,2.0,tyres,JKT01,jktyreindustries
257,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/jmfinancial/JMF,9729.16,71.54,28.33,180.0,1,34.92,1.62,71.1,4.09,1.55,1.0,financeinvestments,JMF,jmfinancial
258,http://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/johnsoncontrolshitachiairconditioningindia/HHL,6520.24,65.11,198.28,15.0,1,19.08,36.83,42.59,12.09,0.06,10.0,consumergoodswhitegoods,HHL,johnsoncontrolshitachiairconditioningindia
260,http://www.moneycontrol.com/india/stockpricequote/steellarge/jswsteel/JSW01,79067.28,17.1,118.58,225.0,1,16.58,19.13,10.3,2.76,0.69,1.0,steellarge,JSW01,jswsteel
261,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/jubilantfoodworks/JF04,18309.38,88.71,80.22,25.0,1,64.8,15.64,50.54,17.29,0.18,10.0,miscellaneous,JF04,jubilantfoodworks
262,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/jubilantlifesciences/JO03,11120.21,42.21,144.79,300.0,1,28.83,16.54,32.13,4.82,0.43,1.0,pharmaceuticals,JO03,jubilantlifesciences
263,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/justdial/JD,3739.25,26.11,155.26,0.0,1,38.62,21.25,20.82,3.57,,10.0,miscellaneous,JD,justdial
264,http://www.moneycontrol.com/india/stockpricequote/personalcare/jyothylaboratories/JL,8615.22,53.61,22.39,500.0,1,66.93,4.42,39.69,10.58,2.11,1.0,personalcare,JL,jyothylaboratories
265,http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/kajariaceramics/KC06,7689.22,30.48,90.09,300.0,1,23.33,15.87,24.48,5.37,0.62,1.0,ceramicsgranite,KC06,kajariaceramics
266,http://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/kalpatarupowertransmission/KPT,6143.79,19.08,182.48,100.0,1,13.5,20.98,15.42,2.19,0.5,2.0,powertransmissionequipment,KPT,kalpatarupowertransmission
267,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/kansainerolacpaints/KNP,23879.53,46.25,57.99,260.0,1,55.61,9.58,40.32,7.64,0.59,1.0,paintsvarnishes,KNP,kansainerolacpaints
268,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/karnatakabank/KB04,3097.03,9.51,181.91,40.0,1,32.65,11.52,9.51,0.6,3.65,10.0,banksprivatesector,KB04,karnatakabank
269,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/kaveriseedcompany/KSC01,3704.13,17.61,186.67,0.0,1,24.28,31.83,15.85,3.0,,2.0,miscellaneous,KSC01,kaveriseedcompany
270,http://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/kecinternational/KEC04,8606.03,20.01,81.13,80.0,1,13.5,16.73,16.38,4.13,0.48,2.0,powertransmissionequipment,KEC04,kecinternational
272,http://www.moneycontrol.com/india/stockpricequote/engines/kirloskaroilengines/KOE03,3816.36,25.42,122.17,250.0,1,24.01,10.38,14.75,2.16,1.89,2.0,engines,KOE03,kirloskaroilengines
273,http://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/kitexgarments/KG01,986.2,14.08,68.52,150.0,1,48.29,10.53,10.56,2.16,1.01,1.0,textilesreadymadeapparels,KG01,kitexgarments
274,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/kotakmahindrabank/KMB,255764.78,62.61,196.64,14.0,1,32.65,21.43,58.29,6.82,0.05,5.0,banksprivatesector,KMB,kotakmahindrabank
275,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/kpittechnologies/KPI02,5361.1,30.19,78.67,110.0,1,22.18,8.99,21.44,3.45,0.81,2.0,computerssoftwaremediumsmall,KPI02,kpittechnologies
276,http://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/kprmill/M15,4723.79,21.0,181.75,15.0,1,48.29,30.44,14.32,3.52,0.12,5.0,textilesreadymadeapparels,M15,kprmill
277,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/krbl/KRB01,7957.36,17.23,99.13,210.0,1,19.0,19.62,15.03,3.41,0.62,1.0,foodprocessing,KRB01,krbl
278,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/kwality/KDI01,553.91,7.78,44.33,10.0,1,64.8,2.95,2.82,0.52,0.44,1.0,foodprocessing,KDI01,kwality
279,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/ltfinanceholdings/LFH,30225.71,82.31,38.17,8.0,1,34.92,1.84,82.31,3.97,0.53,10.0,financeinvestments,LFH,ltfinanceholdings
280,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/larsentoubroinfotech/LI12,28749.69,24.78,173.01,1655.0,1,22.18,67.42,22.97,9.66,0.99,1.0,computerssoftware,LI12,larsentoubroinfotech
281,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/lttechnologyservices/LTS,12452.99,25.45,197.26,350.0,1,27.31,47.76,22.76,6.16,0.58,2.0,computerssoftwaremediumsmall,LTS,lttechnologyservices
282,http://www.moneycontrol.com/india/stockpricequote/glassglassproducts/laopalarg/LOR,2645.13,36.0,24.65,100.0,1,40.05,6.62,30.32,9.67,0.84,2.0,glassglassproducts,LOR,laopalarg
283,http://www.moneycontrol.com/india/stockpricequote/textilesmachinery/lakshmimachineworks/LMW,8550.77,40.44,1571.49,400.0,1,21.24,192.98,30.3,4.97,0.51,10.0,textilesmachinery,LMW,lakshmimachineworks
285,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/larsentoubro/LT,178201.63,33.08,290.38,1050.0,1,21.24,38.43,21.68,4.38,1.65,2.0,infrastructuregeneral,LT,larsentoubro
286,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/lauruslabs/LL05,4885.32,27.51,142.72,15.0,1,28.83,16.75,16.34,3.23,0.33,10.0,pharmaceuticals,LL05,lauruslabs
287,http://www.moneycontrol.com/india/stockpricequote/financehousing/lichousingfinance/LIC,23625.8,11.88,258.92,310.0,1,24.02,39.42,11.82,1.81,1.32,2.0,financehousing,LIC,lichousingfinance
288,http://www.moneycontrol.com/india/stockpricequote/chemicals/lindeindia/BOC,3620.32,181.41,165.06,10.0,1,31.13,2.34,16.01,2.57,0.24,10.0,chemicals,BOC,lindeindia
289,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/lupin/L,40859.9,30.39,326.9,375.0,1,28.83,29.74,23.56,2.76,0.83,2.0,pharmaceuticals,L,lupin
290,http://www.moneycontrol.com/india/stockpricequote/autocarsjeeps/mahindramahindra/MM,111489.51,25.5,206.6,260.0,1,31.16,35.17,19.05,4.34,1.45,5.0,autocarsjeeps,MM,mahindramahindra
