,LINK,MARKETCAP_RS_CR,P_BY_E,BOOK_VALUE_RS,DIV_PERCENT,MARKET_LOT,INDUSTRY_P_BY_E,EPS_TTM,P_BY_C,PRICE_BY_BOOK,DIV_YIELD_PERCENT,FACE_VALUE,sector,company_code,company_name,count_comp_cat,rk
72,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cadilahealthcare/CHC,38625.81,35.39,75.3,320.0,1,28.83,10.66,27.91,5.01,0.85,1.0,pharmaceuticals,CHC,cadilahealthcare,37,4.0
87,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/lupin/L,40859.9,30.39,326.9,375.0,1,28.83,29.74,23.56,2.76,0.83,2.0,pharmaceuticals,L,lupin,37,3.0
100,http://www.moneycontrol.com/india/stockpricequote/cementmajor/acc/ACC06,25131.57,26.48,498.72,260.0,1,35.64,50.54,15.81,2.68,1.94,10.0,cementmajor,ACC06,acc,14,4.0
101,http://www.moneycontrol.com/india/stockpricequote/cementmajor/ambujacements/AC18,41192.21,32.31,100.59,180.0,1,35.64,6.42,22.28,2.06,1.74,2.0,cementmajor,AC18,ambujacements,14,3.0
116,http://www.moneycontrol.com/india/stockpricequote/trading/ptcindia/PTC02,2245.22,7.04,114.66,30.0,1,11.31,10.78,6.97,0.66,3.96,10.0,trading,PTC02,ptcindia,4,4.0
117,http://www.moneycontrol.com/india/stockpricequote/trading/swanenergy/SM09,3810.41,52.35,21.05,7.5,1,21.84,2.98,48.75,7.41,0.05,1.0,trading,SM09,swanenergy,4,3.0
118,http://www.moneycontrol.com/india/stockpricequote/retail/adityabirlafashionretail/PFR,10680.64,90.46,12.43,0.0,1,68.9,1.53,26.77,11.13,,10.0,retail,PFR,adityabirlafashionretail,6,3.0
123,http://www.moneycontrol.com/india/stockpricequote/retail/trent/T04,10032.64,86.01,49.88,100.0,1,68.9,3.51,63.29,6.05,0.33,1.0,retail,T04,trent,6,4.0
124,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/aegislogistics/AL9,7102.51,70.41,16.74,105.0,1,40.69,3.02,59.73,12.7,0.49,1.0,transportlogistics,AL9,aegislogistics,6,3.0
129,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/spicejet/SJ01,6540.0,11.54,-0.71,0.0,1,17.26,9.45,8.2,,,10.0,transportlogistics,SJ01,spicejet,6,4.0
133,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/akzonobelindia/ICI,8585.96,21.44,301.8,220.0,1,55.61,85.84,18.72,6.1,1.2,10.0,paintsvarnishes,ICI,akzonobelindia,4,4.0
136,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/kansainerolacpaints/KNP,23879.53,46.25,57.99,260.0,1,55.61,9.58,40.32,7.64,0.59,1.0,paintsvarnishes,KNP,kansainerolacpaints,4,3.0
139,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/exideindustries/EI,21947.0,32.85,66.26,240.0,1,30.16,7.86,24.0,3.9,0.93,1.0,autoancillaries,EI,exideindustries,6,3.0
142,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/wabcoindia/WAB,13356.78,48.96,811.52,140.0,1,62.82,143.84,39.92,8.68,0.1,5.0,autoancillaries,WAB,wabcoindia,6,4.0
145,http://www.moneycontrol.com/india/stockpricequote/electricequipment/technoelectricengineeringcompany/TEE,3035.66,22.95,87.31,0.0,1,21.24,11.74,22.49,3.09,,2.0,electricequipment,TEE,technoelectricengineeringcompany,5,4.0
146,http://www.moneycontrol.com/india/stockpricequote/electricequipment/triveniturbine/TT14,3796.33,38.61,14.97,120.0,1,32.08,2.98,32.32,7.69,1.04,1.0,electricequipment,TT14,triveniturbine,5,3.0
149,http://www.moneycontrol.com/india/stockpricequote/steeltubespipes/jindalsaw/JS08,2538.85,6.58,186.07,50.0,1,17.39,12.07,3.95,0.43,1.26,2.0,steeltubespipes,JS08,jindalsaw,4,4.0
151,http://www.moneycontrol.com/india/stockpricequote/steeltubespipes/welspuncorp/WGS,3128.34,24.88,72.97,10.0,1,17.39,4.74,8.61,1.62,0.42,5.0,steeltubespipes,WGS,welspuncorp,4,3.0
155,http://www.moneycontrol.com/india/stockpricequote/tyres/apollotyres/AT14,14595.86,23.45,104.18,300.0,1,25.91,10.88,14.79,2.45,1.18,1.0,tyres,AT14,apollotyres,6,3.0
157,http://www.moneycontrol.com/india/stockpricequote/tyres/ceat/C07,5093.27,18.22,639.03,115.0,1,25.91,69.09,11.55,1.97,0.91,10.0,tyres,C07,ceat,6,4.0
166,http://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/forcemotors/FM01,3335.64,22.7,1375.47,100.0,1,34.71,111.53,12.08,1.84,0.4,10.0,autolcvshcvs,FM01,forcemotors,4,3.0
167,http://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/smlisuzu/SM,1091.67,128.51,284.01,0.0,1,34.71,5.87,29.58,2.66,,10.0,autolcvshcvs,SM,smlisuzu,4,4.0
168,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/ashokabuildcon/AB,4253.89,16.87,112.28,32.0,1,28.23,13.47,13.94,2.02,0.7,5.0,constructioncontractingcivil,AB,ashokabuildcon,8,3.0
170,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/gayatriprojects/GP10,3041.98,16.17,49.74,0.0,1,28.23,10.05,12.53,3.27,,2.0,constructioncontractingcivil,GP10,gayatriprojects,8,4.0
176,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/astramicrowaveproducts/AMP01,851.39,14.02,59.44,50.0,1,27.31,7.01,9.7,1.65,1.02,2.0,telecommunicationsequipment,AMP01,astramicrowaveproducts,4,4.0
178,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/himachalfuturisticcommunication/HFC,3588.0,23.16,9.67,0.0,1,33.19,1.25,20.98,2.99,,1.0,telecommunicationsequipment,HFC,himachalfuturisticcommunication,4,3.0
181,http://www.moneycontrol.com/india/stockpricequote/plastics/jainirrigationsystems/JIS02,3824.5,13.61,92.69,37.5,1,13.61,5.66,8.11,0.83,0.97,2.0,plastics,JIS02,jainirrigationsystems,5,4.0
184,http://www.moneycontrol.com/india/stockpricequote/plastics/vipindustries/VIP,6005.99,50.66,36.63,120.0,1,34.36,8.39,46.4,11.6,0.56,2.0,plastics,VIP,vipindustries,5,3.0
188,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/axisbank/AB16,131067.69,477.01,217.28,0.0,1,32.65,1.07,155.14,2.35,,2.0,banksprivatesector,AB16,axisbank,14,4.0
