,LINK,company_code,company_category,company_name,BOOK VALUE (Rs),DIV (%),DIV YIELD.(%),EPS (TTM),FACE VALUE (Rs),INDUSTRY P/E,MARKET CAP (Rs Cr),Market Lot,P/C,P/E,PRICE/BOOK,sector
55,http://www.moneycontrol.com/india/stockpricequote/leatherproducts/bataindia/BI01,BI01,leatherproducts,bataindia,120.51,70.00%,0.45%,17.40,5.00,40.15,"10,009.72",1,35.24,44.76,6.46,LEATHER PRODUCTS
56,http://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/bayercropscience/BC12,BC12,pesticidesagrochemicals,bayercropscience,686.13,170.00%,0.36%,87.41,10.00,39.10,"16,134.04",1,48.42,53.76,6.85,PESTICIDES & AGRO CHEMICALS
57,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/beml/BEM03,BEM03,infrastructuregeneral,beml,554.91,80.00%,0.92%,31.08,10.00,23.24,"3,635.56",1,18.77,28.09,1.57,INFRASTRUCTURE - GENERAL
58,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/bergerpaintsindia/BPI02,BPI02,paintsvarnishes,bergerpaintsindia,24.24,175.00%,0.60%,4.52,1.00,57.09,"28,315.28",1,51.43,64.51,12.03,PAINTS & VARNISHES
59,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/bfutilities/BFU,BFU,powergenerationdistribution,bfutilities,26.70,0.00%,-%,4.20,5.00,11.73,"1,342.47",1,68.28,84.86,13.35,POWER - GENERATION & DISTRIBUTION
60,http://www.moneycontrol.com/india/stockpricequote/electricals/bharatelectronics/BE03,BE03,electricals,bharatelectronics,30.56,225.00%,1.92%,5.70,1.00,20.88,"28,746.79",1,17.41,20.53,3.83,ELECTRICALS
61,http://www.moneycontrol.com/india/stockpricequote/financegeneral/bharatfinancialinclusion/SM11,SM11,financegeneral,bharatfinancialinclusion,175.61,0.00%,-%,32.67,10.00,36.62,"16,619.10",1,35.46,36.49,6.79,FINANCE - GENERAL
62,http://www.moneycontrol.com/india/stockpricequote/castingsforgings/bharatforge/BF03,BF03,castingsforgings,bharatforge,90.89,475.00%,1.48%,15.19,2.00,46.42,"29,886.13",1,29.47,42.26,7.06,CASTINGS & FORGINGS
63,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsservice/bhartiairtel/BA08,BA08,telecommunicationsservice,bhartiairtel,253.38,20.00%,0.26%,0.20,5.00,341.93,"150,921.84",1,11.50,"1,887.75",1.49,TELECOMMUNICATIONS - SERVICE
64,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/bhartiinfratel/BI14,BI14,telecommunicationsequipment,bhartiinfratel,100.84,160.00%,5.45%,13.05,10.00,22.48,"54,258.26",1,15.10,22.48,2.91,TELECOMMUNICATIONS - EQUIPMENT
