,LINK,company_code,company_category,company_name,BOOK_VALUE_RS,DIV_PERCENT,DIV_YIELD_PERCENT,EPS_TTM,FACE_VALUE,INDUSTRY_P_BY_E,MARKETCAP_RS_CR,MARKET_LOT,P_BY_C,P_BY_E,PRICE_BY_BOOK,sector
61,http://www.moneycontrol.com/india/stockpricequote/financegeneral/bharatfinancialinclusion/SM11,SM11,financegeneral,bharatfinancialinclusion,175.61,0.0,,32.67,10.0,36.62,16619.1,1,35.46,36.49,6.79,FINANCE - GENERAL
62,http://www.moneycontrol.com/india/stockpricequote/castingsforgings/bharatforge/BF03,BF03,castingsforgings,bharatforge,90.89,475.0,1.48,15.19,2.0,46.42,29886.13,1,29.47,42.26,7.06,CASTINGS & FORGINGS
63,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsservice/bhartiairtel/BA08,BA08,telecommunicationsservice,bhartiairtel,253.38,20.0,0.26,0.2,5.0,341.93,150921.84,1,11.5,1887.75,1.49,TELECOMMUNICATIONS - SERVICE
64,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/bhartiinfratel/BI14,BI14,telecommunicationsequipment,bhartiinfratel,100.84,160.0,5.45,13.05,10.0,22.48,54258.26,1,15.1,22.48,2.91,TELECOMMUNICATIONS - EQUIPMENT
65,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/bharatheavyelectricals/BHE,BHE,infrastructuregeneral,bharatheavyelectricals,87.96,79.0,2.1,2.2,2.0,23.24,27608.93,1,17.33,34.18,0.85,INFRASTRUCTURE - GENERAL
66,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/biocon/BL03,BL03,pharmaceuticals,biocon,60.12,20.0,0.16,3.98,5.0,29.05,37425.0,1,99.96,156.72,10.38,PHARMACEUTICALS
67,http://www.moneycontrol.com/india/stockpricequote/cementmajor/birlacorporation/BC07,BC07,cementmajor,birlacorporation,427.15,65.0,0.89,14.95,10.0,36.29,5631.02,1,21.56,48.91,1.71,CEMENT - MAJOR
68,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/blissgvspharma/BGV,BGV,pharmaceuticals,blissgvspharma,53.16,60.0,0.32,5.53,1.0,29.05,1919.04,1,30.6,33.64,3.5,PHARMACEUTICALS
69,http://www.moneycontrol.com/india/stockpricequote/couriers/bluedartexpress/BDE,BDE,couriers,bluedartexpress,279.75,150.0,0.41,59.89,10.0,52.73,8579.31,1,45.86,60.37,12.92,COURIERS
70,http://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/bluestar/BS,BS,consumergoodswhitegoods,bluestar,95.45,375.0,1.16,14.76,2.0,20.53,6239.23,1,30.81,43.96,6.8,CONSUMER GOODS - WHITE GOODS
72,http://www.moneycontrol.com/india/stockpricequote/textilesprocessing/bombaydyeingmanufacturingcompany/BDM,BDM,textilesprocessing,bombaydyeingmanufacturingcompany,21.2,35.0,0.32,1.67,2.0,50.95,4583.01,1,71.35,132.87,10.47,TEXTILES - PROCESSING
73,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/bosch/B05,B05,autoancillaries,bosch,3332.27,1650.0,0.91,449.12,10.0,35.63,55379.88,1,30.13,40.4,5.45,AUTO ANCILLARIES
74,http://www.moneycontrol.com/india/stockpricequote/refineries/bharatpetroleumcorporation/BPC,BPC,refineries,bharatpetroleumcorporation,137.83,310.0,7.53,36.51,10.0,8.41,89340.67,1,8.45,11.28,2.99,REFINERIES
75,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/britanniaindustries/BI,BI,foodprocessing,britanniaindustries,294.01,1100.0,0.36,78.95,2.0,64.74,73575.85,1,68.91,77.62,20.84,FOOD PROCESSING
76,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cadilahealthcare/CHC,CHC,pharmaceuticals,cadilahealthcare,75.3,320.0,0.8,10.66,1.0,29.05,40796.14,1,29.47,37.38,5.29,PHARMACEUTICALS
77,http://www.moneycontrol.com/india/stockpricequote/financehousing/canfinhomes/CFH,CFH,financehousing,canfinhomes,80.83,100.0,0.56,22.66,2.0,23.49,4734.37,1,15.53,15.69,4.4,FINANCE - HOUSING
79,http://www.moneycontrol.com/india/stockpricequote/financegeneral/capitalfirst/FCH,FCH,financegeneral,capitalfirst,257.66,28.0,0.48,33.04,10.0,36.62,5750.03,1,16.2,17.58,2.25,FINANCE - GENERAL
80,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/caplinpointlaboratories/CPL,CPL,pharmaceuticals,caplinpointlaboratories,39.43,75.0,0.32,13.53,2.0,29.05,3548.07,1,29.26,34.69,11.9,PHARMACEUTICALS
81,http://www.moneycontrol.com/india/stockpricequote/abrasives/carborundumuniversal/CU,CU,abrasives,carborundumuniversal,63.41,175.0,0.53,7.59,1.0,41.14,6236.61,1,28.69,43.47,5.2,ABRASIVES
82,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/creditanalysisresearch/CAR,CAR,miscellaneous,creditanalysisresearch,224.04,280.0,2.06,54.66,10.0,51.31,4006.73,1,24.43,24.88,6.07,MISCELLANEOUS
83,http://www.moneycontrol.com/india/stockpricequote/lubricants/castrolindia/CI01,CI01,lubricants,castrolindia,10.31,140.0,4.11,7.02,5.0,26.3,16854.65,1,22.78,24.27,16.53,LUBRICANTS
84,http://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/cclproductsindia/CC10,CC10,plantationsteacoffee,cclproductsindia,48.35,175.0,1.25,7.35,2.0,32.14,3724.12,1,34.18,38.09,5.79,PLANTATIONS - TEA & COFFEE
85,http://www.moneycontrol.com/india/stockpricequote/tyres/ceat/C07,C07,tyres,ceat,639.03,115.0,0.86,69.09,10.0,27.04,5404.33,1,12.25,19.34,2.09,TYRES
87,http://www.moneycontrol.com/india/stockpricequote/diversified/centurytextilesindustries/CTI,CTI,diversified,centurytextilesindustries,255.47,55.0,0.6,33.27,10.0,22.07,10211.78,1,14.9,27.48,3.58,DIVERSIFIED
88,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/centuryplyboards/CP9,CP9,miscellaneous,centuryplyboards,31.84,100.0,0.38,7.04,1.0,39.23,5805.73,1,24.43,37.06,8.19,MISCELLANEOUS
89,http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/cerasanitaryware/CS18,CS18,ceramicsgranite,cerasanitaryware,478.75,240.0,0.41,77.08,5.0,25.51,3797.72,1,30.97,37.88,6.1,CERAMICS & GRANITE
90,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/cesc/CES,CES,powergenerationdistribution,cesc,1070.79,100.0,1.01,65.71,10.0,11.73,13162.91,1,10.09,15.11,0.93,POWER - GENERATION & DISTRIBUTION
91,http://www.moneycontrol.com/india/stockpricequote/electricals/cromptongreavesconsumerelectrical/CGC01,CGC01,electricals,cromptongreavesconsumerelectrical,13.77,0.0,,5.17,2.0,47.97,13962.21,1,41.48,43.09,16.18,ELECTRICALS
93,http://www.moneycontrol.com/india/stockpricequote/fertilisers/chambalfertiliserschemicals/CFC,CFC,fertilisers,chambalfertiliserschemicals,72.45,19.0,1.18,11.54,10.0,14.8,6719.68,1,12.37,13.99,2.23,FERTILISERS
94,http://www.moneycontrol.com/india/stockpricequote/refineries/chennaipetroleumcorporation/CPC02,CPC02,refineries,chennaipetroleumcorporation,283.84,210.0,6.99,61.31,10.0,8.41,4476.28,1,3.57,4.9,1.06,REFINERIES
95,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/cholamandalaminvestmentfinancecompany/CDB,CDB,financeleasinghirepurchase,cholamandalaminvestmentfinancecompany,338.17,55.0,0.34,62.31,10.0,36.62,25254.92,1,24.67,25.93,4.78,FINANCE - LEASING & HIRE PURCHASE
96,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cipla/C,C,pharmaceuticals,cipla,177.23,100.0,0.33,18.24,2.0,29.05,49277.7,1,24.66,33.55,3.45,PHARMACEUTICALS
97,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/cityunionbank/CUB,CUB,banksprivatesector,cityunionbank,53.49,30.0,0.16,8.9,1.0,32.64,12448.75,1,21.0,21.02,3.5,BANKS - PRIVATE SECTOR
98,http://www.moneycontrol.com/india/stockpricequote/miningminerals/coalindia/CI11,CI11,miningminerals,coalindia,37.4,199.0,7.13,14.97,10.0,15.1,173217.75,1,18.6,18.64,7.46,MINING & MINERALS
100,http://www.moneycontrol.com/india/stockpricequote/personalcare/colgatepalmoliveindia/CPI,CPI,personalcare,colgatepalmoliveindia,71.59,1000.0,0.82,24.76,1.0,66.23,33145.53,1,39.94,49.22,17.02,PERSONAL CARE
101,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/containercorporationindia/CCI,CCI,transportlogistics,containercorporationindia,332.59,171.0,1.35,43.04,10.0,25.25,30762.05,1,21.34,29.33,3.8,TRANSPORT & LOGISTICS
102,http://www.moneycontrol.com/india/stockpricequote/fertilisers/coromandelinternational/CI45,CI45,fertilisers,coromandelinternational,118.72,500.0,1.19,22.55,1.0,14.8,12300.39,1,16.26,18.65,3.54,FERTILISERS
104,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/coxkings/CK,CK,miscellaneous,coxkings,171.74,20.0,0.47,9.97,5.0,21.95,3773.19,1,18.23,21.43,1.24,MISCELLANEOUS
105,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/crisil/CRI,CRI,miscellaneous,crisil,113.04,2800.0,1.58,33.16,1.0,51.31,12739.27,1,47.78,53.5,15.69,MISCELLANEOUS
106,http://www.moneycontrol.com/india/stockpricequote/engines/cumminsindia/CI02,CI02,engines,cumminsindia,160.56,700.0,2.03,25.56,2.0,25.13,19072.75,1,23.78,26.92,4.29,ENGINES
107,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/cyient/IE07,IE07,computerssoftware,cyient,202.3,210.0,1.44,35.59,5.0,21.82,8219.09,1,18.16,20.45,3.6,COMPUTERS - SOFTWARE
108,http://www.moneycontrol.com/india/stockpricequote/personalcare/daburindia/DI,DI,personalcare,daburindia,26.78,225.0,0.59,6.07,1.0,66.23,67718.58,1,57.65,63.16,14.32,PERSONAL CARE
109,http://www.moneycontrol.com/india/stockpricequote/cementmajor/dalmiabharat/DBE,DBE,cementmajor,dalmiabharat,166.2,0.0,,8.87,2.0,90.8,22669.9,1,268.23,286.67,15.3,CEMENT - MAJOR
110,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/dbcorp/C13,C13,mediaentertainment,dbcorp,86.88,40.0,1.51,17.63,10.0,15.58,4865.32,1,11.68,14.99,3.04,MEDIA & ENTERTAINMENT
111,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/dcbbank/DCB01,DCB01,banksprivatesector,dcbbank,82.92,7.5,0.42,7.96,10.0,32.64,5522.34,1,18.49,22.51,2.16,BANKS - PRIVATE SECTOR
112,http://www.moneycontrol.com/india/stockpricequote/diversified/dcmshriram/DCM02,DCM02,diversified,dcmshriram,198.77,290.0,1.9,42.39,2.0,22.07,4968.31,1,6.01,7.22,1.54,DIVERSIFIED
113,http://www.moneycontrol.com/india/stockpricequote/fertilisers/deepakfertilizerspetrochemicalscoprn/DFP,DFP,fertilisers,deepakfertilizerspetrochemicalscoprn,208.9,60.0,2.09,12.16,10.0,14.8,2528.84,1,16.03,23.58,1.37,FERTILISERS
114,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/deltacorp/DC11,DC11,constructioncontractingrealestate,deltacorp,39.69,35.0,0.14,3.91,1.0,39.36,6579.94,1,55.25,62.88,6.19,CONSTRUCTION & CONTRACTING - REAL ESTATE
117,http://www.moneycontrol.com/india/stockpricequote/financehousing/dewanhousingfinancecorporation/DHF,DHF,financehousing,dewanhousingfinancecorporation,280.42,55.0,0.88,37.37,10.0,23.49,19622.5,1,16.36,16.74,2.23,FINANCE - HOUSING
118,http://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/dhanukaagritech/DA01,DA01,pesticidesagrochemicals,dhanukaagritech,131.63,30.0,0.1,25.71,2.0,39.1,2953.53,1,21.04,23.41,4.57,PESTICIDES & AGRO CHEMICALS
119,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/dilipbuildcon/DB04,DB04,constructioncontractingcivil,dilipbuildcon,180.83,10.0,0.12,45.35,10.0,30.6,11391.55,1,12.72,18.37,4.61,CONSTRUCTION & CONTRACTING - CIVIL
121,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/divislaboratories/DL03,DL03,pharmaceuticals,divislaboratories,236.51,500.0,0.91,32.76,2.0,29.05,29229.42,1,28.88,33.61,4.66,PHARMACEUTICALS
122,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/dlf/D04,D04,constructioncontractingrealestate,dlf,84.46,100.0,1.0,2.05,2.0,30.6,35637.1,1,71.59,97.44,2.37,CONSTRUCTION & CONTRACTING - REAL ESTATE
123,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/drlalpathlabs/DLP01,DLP01,pharmaceuticals,drlalpathlabs,95.18,30.0,0.34,20.16,10.0,48.56,7293.64,1,36.65,43.41,9.19,PHARMACEUTICALS
124,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/drreddyslaboratories/DRL,DRL,pharmaceuticals,drreddyslaboratories,698.95,400.0,0.85,34.16,5.0,29.05,39021.97,1,29.1,68.83,3.36,PHARMACEUTICALS
125,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/eclerxservices/eS06,eS06,computerssoftwaremediumsmall,eclerxservices,356.28,10.0,0.08,72.0,10.0,23.52,5023.13,1,16.32,18.06,3.65,COMPUTERS - SOFTWARE MEDIUM & SMALL
126,http://www.moneycontrol.com/india/stockpricequote/financegeneral/edelweissfinancialservices/EC01,EC01,financegeneral,edelweissfinancialservices,18.8,130.0,0.41,1.56,1.0,36.62,28964.29,1,197.44,202.5,16.8,FINANCE - GENERAL
127,http://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/eichermotors/EM,EM,autolcvshcvs,eichermotors,2067.67,1000.0,0.34,628.46,10.0,37.26,80421.31,1,41.56,46.95,14.27,AUTO - LCVS & HCVS
128,http://www.moneycontrol.com/india/stockpricequote/sugar/eidparryindia/EID,EID,sugar,eidparryindia,89.19,400.0,1.79,5.71,1.0,10.33,3962.03,1,18.52,39.2,2.51,SUGAR
129,http://www.moneycontrol.com/india/stockpricequote/hotels/eih/EIH,EIH,hotels,eih,46.74,45.0,0.52,1.96,2.0,69.32,9951.02,1,44.99,88.83,3.72,HOTELS
