,DETAIL,magnitude,parameter
2067,HCL,2.00,FACE VALUE (Rs)
2068,HCL02,"131,914.73",MARKET CAP (Rs Cr)
2069,HCL02,17.92,P/E
2070,HCL02,186.49,BOOK VALUE (Rs)
2071,HCL02,600.00%,DIV (%)
2072,HCL02,1,Market Lot
2073,HCL02,21.82,INDUSTRY P/E
2074,HCL02,52.87,EPS (TTM)
2075,HCL02,15.98,P/C
2076,HCL02,5.08,PRICE/BOOK
2077,HCL02,1.27%,DIV YIELD.(%)
2078,HCL02,2.00,FACE VALUE (Rs)
2079,HDF,"307,783.45",MARKET CAP (Rs Cr)
2080,HDF,25.28,P/E
2081,HDF,235.77,BOOK VALUE (Rs)
2082,HDF,900.00%,DIV (%)
2083,HDF,1,Market Lot
2084,HDF,23.49,INDUSTRY P/E
2085,HDF,72.45,EPS (TTM)
2086,HDF,25.18,P/C
2087,HDF,7.77,PRICE/BOOK
2088,HDF,0.98%,DIV YIELD.(%)
2089,HDF,2.00,FACE VALUE (Rs)
2090,HDF01,"528,652.06",MARKET CAP (Rs Cr)
2091,HDF01,30.23,P/E
2092,HDF01,408.32,BOOK VALUE (Rs)
2093,HDF01,650.00%,DIV (%)
2094,HDF01,1,Market Lot
2095,HDF01,32.64,INDUSTRY P/E
2096,HDF01,67.17,EPS (TTM)
2097,HDF01,28.74,P/C
2098,HDF01,4.97,PRICE/BOOK
2099,HDF01,0.64%,DIV YIELD.(%)
2100,HDF01,2.00,FACE VALUE (Rs)
2101,HDI,993.87,MARKET CAP (Rs Cr)
2102,HDI,10.41,P/E
2103,HDI,263.04,BOOK VALUE (Rs)
2104,HDI,0.00%,DIV (%)
2105,HDI,1,Market Lot
2106,HDI,30.60,INDUSTRY P/E
2107,HDI,2.20,EPS (TTM)
2108,HDI,9.74,P/C
2109,HDI,0.09,PRICE/BOOK
2110,HDI,-%,DIV YIELD.(%)
2111,HDI,10.00,FACE VALUE (Rs)
2112,HCI02,"3,093.27",MARKET CAP (Rs Cr)
2113,HCI02,23.21,P/E
2114,HCI02,48.55,BOOK VALUE (Rs)
2115,HCI02,0.00%,DIV (%)
2116,HCI02,1,Market Lot
2117,HCI02,36.29,INDUSTRY P/E
2118,HCI02,5.88,EPS (TTM)
2119,HCI02,13.20,P/C
2120,HCI02,2.81,PRICE/BOOK
2121,HCI02,-%,DIV YIELD.(%)
2122,HCI02,10.00,FACE VALUE (Rs)
2123,HFI,"3,210.51",MARKET CAP (Rs Cr)
2124,HFI,61.67,P/E
2125,HFI,78.42,BOOK VALUE (Rs)
2126,HFI,40.00%,DIV (%)
2127,HFI,1,Market Lot
2128,HFI,64.74,INDUSTRY P/E
2129,HFI,11.22,EPS (TTM)
2130,HFI,36.06,P/C
2131,HFI,8.82,PRICE/BOOK
2132,HFI,0.29%,DIV YIELD.(%)
2133,HFI,5.00,FACE VALUE (Rs)
2134,HHM,"73,676.55",MARKET CAP (Rs Cr)
2135,HHM,19.93,P/E
2136,HHM,691.43,BOOK VALUE (Rs)
2137,HHM,4250.00%,DIV (%)
2138,HHM,1,Market Lot
2139,HHM,22.15,INDUSTRY P/E
2140,HHM,185.14,EPS (TTM)
2141,HHM,17.32,P/C
2142,HHM,5.34,PRICE/BOOK
2143,HHM,2.30%,DIV YIELD.(%)
2144,HHM,2.00,FACE VALUE (Rs)
2145,HT02,"13,223.01",MARKET CAP (Rs Cr)
2146,HT02,32.00,P/E
2147,HT02,51.93,BOOK VALUE (Rs)
2148,HT02,200.00%,DIV (%)
2149,HT02,1,Market Lot
2150,HT02,21.82,INDUSTRY P/E
2151,HT02,13.92,EPS (TTM)
2152,HT02,28.59,P/C
2153,HT02,8.58,PRICE/BOOK
2154,HT02,0.90%,DIV YIELD.(%)
2155,HT02,2.00,FACE VALUE (Rs)
2156,HFC,"4,120.93",MARKET CAP (Rs Cr)
2157,HFC,26.60,P/E
2158,HFC,9.67,BOOK VALUE (Rs)
2159,HFC,0.00%,DIV (%)
2160,HFC,1,Market Lot
2161,HFC,37.77,INDUSTRY P/E
2162,HFC,1.25,EPS (TTM)
2163,HFC,24.09,P/C
2164,HFC,3.44,PRICE/BOOK
2165,HFC,-%,DIV YIELD.(%)
2166,HFC,1.00,FACE VALUE (Rs)
2167,HS,"3,299.79",MARKET CAP (Rs Cr)
2168,HS,16.01,P/E
2169,HS,129.27,BOOK VALUE (Rs)
2170,HS,50.00%,DIV (%)
2171,HS,1,Market Lot
2172,HS,13.50,INDUSTRY P/E
2173,HS,20.93,EPS (TTM)
2174,HS,12.63,P/C
2175,HS,2.59,PRICE/BOOK
2176,HS,0.75%,DIV YIELD.(%)
2177,HS,5.00,FACE VALUE (Rs)
2178,HCC,"1,476.48",MARKET CAP (Rs Cr)
2179,HCC,19.13,P/E
2180,HCC,27.26,BOOK VALUE (Rs)
2181,HCC,0.00%,DIV (%)
2182,HCC,1,Market Lot
2183,HCC,30.60,INDUSTRY P/E
2184,HCC,0.76,EPS (TTM)
2185,HCC,7.38,P/C
2186,HCC,0.53,PRICE/BOOK
2187,HCC,-%,DIV YIELD.(%)
2188,HCC,1.00,FACE VALUE (Rs)
2189,HC07,"6,615.31",MARKET CAP (Rs Cr)
2190,HC07,83.14,P/E
2191,HC07,16.72,BOOK VALUE (Rs)
2192,HC07,0.00%,DIV (%)
2193,HC07,1,Market Lot
2194,HC07,22.18,INDUSTRY P/E
2195,HC07,0.86,EPS (TTM)
2196,HC07,27.08,P/C
2197,HC07,4.28,PRICE/BOOK
2198,HC07,-%,DIV YIELD.(%)
2199,HC07,5.00,FACE VALUE (Rs)
2200,HZ,"128,639.84",MARKET CAP (Rs Cr)
2201,HZ,14.05,P/E
2202,HZ,94.86,BOOK VALUE (Rs)
2203,HZ,1470.00%,DIV (%)
2204,HZ,1,Market Lot
2205,HZ,13.77,INDUSTRY P/E
2206,HZ,21.67,EPS (TTM)
2207,HZ,12.09,P/C
2208,HZ,3.21,PRICE/BOOK
2209,HZ,9.66%,DIV YIELD.(%)
2210,HZ,2.00,FACE VALUE (Rs)
2211,HI,"53,308.76",MARKET CAP (Rs Cr)
2212,HI,37.10,P/E
2213,HI,210.84,BOOK VALUE (Rs)
2214,HI,110.00%,DIV (%)
2215,HI,1,Market Lot
2216,HI,24.70,INDUSTRY P/E
2217,HI,6.40,EPS (TTM)
2218,HI,17.46,P/C
2219,HI,1.13,PRICE/BOOK
2220,HI,0.46%,DIV YIELD.(%)
2221,HI,1.00,FACE VALUE (Rs)
2222,HA04,"16,210.67",MARKET CAP (Rs Cr)
2223,HA04,64.91,P/E
2224,HA04,1617.38,BOOK VALUE (Rs)
2225,HA04,100.00%,DIV (%)
2226,HA04,1,Market Lot
2227,HA04,37.67,INDUSTRY P/E
2228,HA04,282.45,EPS (TTM)
2229,HA04,61.19,P/C
2230,HA04,11.34,PRICE/BOOK
2231,HA04,0.05%,DIV YIELD.(%)
2232,HA04,10.00,FACE VALUE (Rs)
2233,HPC,"46,659.45",MARKET CAP (Rs Cr)
2234,HPC,7.34,P/E
2235,HPC,120.46,BOOK VALUE (Rs)
2236,HPC,300.00%,DIV (%)
2237,HPC,1,Market Lot
2238,HPC,8.41,INDUSTRY P/E
2239,HPC,41.72,EPS (TTM)
2240,HPC,5.12,P/C
2241,HPC,2.54,PRICE/BOOK
2242,HPC,9.80%,DIV YIELD.(%)
2243,HPC,10.00,FACE VALUE (Rs)
2244,HSI02,"2,478.68",MARKET CAP (Rs Cr)
2245,HSI02,33.16,P/E
2246,HSI02,210.91,BOOK VALUE (Rs)
2247,HSI02,200.00%,DIV (%)
2248,HSI02,1,Market Lot
2249,HSI02,25.51,INDUSTRY P/E
2250,HSI02,10.34,EPS (TTM)
2251,HSI02,13.13,P/C
2252,HSI02,1.63,PRICE/BOOK
2253,HSI02,1.17%,DIV YIELD.(%)
2254,HSI02,2.00,FACE VALUE (Rs)
2255,HU,"350,929.00",MARKET CAP (Rs Cr)
2256,HU,67.02,P/E
2257,HU,32.69,BOOK VALUE (Rs)
2258,HU,2000.00%,DIV (%)
2259,HU,1,Market Lot
2260,HU,66.23,INDUSTRY P/E
2261,HU,24.19,EPS (TTM)
2262,HU,61.41,P/C
2263,HU,49.59,PRICE/BOOK
2264,HU,1.23%,DIV YIELD.(%)
2265,HU,1.00,FACE VALUE (Rs)
2266,ICI02,"181,540.06",MARKET CAP (Rs Cr)
2267,ICI02,26.78,P/E
2268,ICI02,150.70,BOOK VALUE (Rs)
2269,ICI02,125.00%,DIV (%)
2270,ICI02,1,Market Lot
2271,ICI02,32.64,INDUSTRY P/E
2272,ICI02,10.54,EPS (TTM)
2273,ICI02,26.78,P/C
2274,ICI02,1.87,PRICE/BOOK
2275,ICI02,0.89%,DIV YIELD.(%)
2276,ICI02,2.00,FACE VALUE (Rs)
2277,IPL01,"57,501.16",MARKET CAP (Rs Cr)
2278,IPL01,35.51,P/E
2279,IPL01,47.81,BOOK VALUE (Rs)
2280,IPL01,78.00%,DIV (%)
2281,IPL01,1,Market Lot
2282,IPL01,57.66,INDUSTRY P/E
2283,IPL01,11.28,EPS (TTM)
2284,IPL01,35.51,P/C
2285,IPL01,8.38,PRICE/BOOK
2286,IPL01,1.95%,DIV YIELD.(%)
2287,IPL01,10.00,FACE VALUE (Rs)
2288,ICR,"3,287.89",MARKET CAP (Rs Cr)
2289,ICR,32.77,P/E
2290,ICR,559.34,BOOK VALUE (Rs)
2291,ICR,270.00%,DIV (%)
2292,ICR,1,Market Lot
2293,ICR,51.31,INDUSTRY P/E
2294,ICR,101.30,EPS (TTM)
2295,ICR,31.93,P/C
2296,ICR,5.94,PRICE/BOOK
2297,ICR,0.81%,DIV YIELD.(%)
2298,ICR,10.00,FACE VALUE (Rs)
2299,IDB05,"24,857.17",MARKET CAP (Rs Cr)
2300,IDB05,-,P/E
2301,IDB05,26.38,BOOK VALUE (Rs)
2302,IDB05,0.00%,DIV (%)
2303,IDB05,1,Market Lot
2304,IDB05,12.43,INDUSTRY P/E
2305,IDB05,-,EPS (TTM)
2306,IDB05,-,P/C
2307,IDB05,2.25,PRICE/BOOK
2308,IDB05,-%,DIV YIELD.(%)
2309,IDB05,10.00,FACE VALUE (Rs)
2310,IC8,"26,420.48",MARKET CAP (Rs Cr)
2311,IC8,-,P/E
2312,IC8,45.18,BOOK VALUE (Rs)
2313,IC8,0.00%,DIV (%)
2314,IC8,1,Market Lot
2315,IC8,341.93,INDUSTRY P/E
2316,IC8,-,EPS (TTM)
2317,IC8,7.47,P/C
2318,IC8,1.34,PRICE/BOOK
2319,IC8,-%,DIV YIELD.(%)
2320,IC8,10.00,FACE VALUE (Rs)
2321,IDF,"7,957.83",MARKET CAP (Rs Cr)
2322,IDF,53.60,P/E
2323,IDF,61.38,BOOK VALUE (Rs)
2324,IDF,0.00%,DIV (%)
2325,IDF,1,Market Lot
2326,IDF,5.80,INDUSTRY P/E
2327,IDF,0.93,EPS (TTM)
2328,IDF,51.93,P/C
2329,IDF,0.81,PRICE/BOOK
2330,IDF,-%,DIV YIELD.(%)
2331,IDF,10.00,FACE VALUE (Rs)
2332,IDF01,"14,722.76",MARKET CAP (Rs Cr)
2333,IDF01,17.16,P/E
2334,IDF01,45.65,BOOK VALUE (Rs)
2335,IDF01,7.50%,DIV (%)
2336,IDF01,1,Market Lot
2337,IDF01,32.64,INDUSTRY P/E
2338,IDF01,2.52,EPS (TTM)
2339,IDF01,14.42,P/C
2340,IDF01,0.95,PRICE/BOOK
2341,IDF01,1.73%,DIV YIELD.(%)
2342,IDF01,10.00,FACE VALUE (Rs)
2343,IFC02,"2,840.79",MARKET CAP (Rs Cr)
2344,IFC02,-,P/E
2345,IFC02,27.76,BOOK VALUE (Rs)
2346,IFC02,0.00%,DIV (%)
2347,IFC02,1,Market Lot
2348,IFC02,5.80,INDUSTRY P/E
2349,IFC02,-,EPS (TTM)
2350,IFC02,-,P/C
2351,IFC02,0.60,PRICE/BOOK
2352,IFC02,-%,DIV YIELD.(%)
2353,IFC02,10.00,FACE VALUE (Rs)
2354,IG04,"18,413.52",MARKET CAP (Rs Cr)
2355,IG04,27.46,P/E
2356,IG04,51.39,BOOK VALUE (Rs)
2357,IG04,85.00%,DIV (%)
2358,IG04,1,Market Lot
2359,IG04,32.84,INDUSTRY P/E
2360,IG04,9.58,EPS (TTM)
2361,IG04,21.61,P/C
2362,IG04,5.12,PRICE/BOOK
2363,IG04,0.65%,DIV YIELD.(%)
2364,IG04,2.00,FACE VALUE (Rs)
2365,II15,"23,067.86",MARKET CAP (Rs Cr)
2366,II15,112.80,P/E
2367,II15,47.01,BOOK VALUE (Rs)
2368,II15,225.00%,DIV (%)
2369,II15,1,Market Lot
2370,II15,36.62,INDUSTRY P/E
2371,II15,6.41,EPS (TTM)
2372,II15,112.62,P/C
2373,II15,15.38,PRICE/BOOK
2374,II15,0.62%,DIV YIELD.(%)
2375,II15,2.00,FACE VALUE (Rs)
2376,ITN,"1,598.75",MARKET CAP (Rs Cr)
2377,ITN,6.35,P/E
2378,ITN,93.66,BOOK VALUE (Rs)
2379,ITN,20.00%,DIV (%)
2380,ITN,1,Market Lot
2381,ITN,25.25,INDUSTRY P/E
2382,ITN,7.65,EPS (TTM)
2383,ITN,5.83,P/C
2384,ITN,0.52,PRICE/BOOK
2385,ITN,4.12%,DIV YIELD.(%)
2386,ITN,10.00,FACE VALUE (Rs)
2387,IC,"3,573.76",MARKET CAP (Rs Cr)
2388,IC,35.55,P/E
2389,IC,165.25,BOOK VALUE (Rs)
2390,IC,10.00%,DIV (%)
2391,IC,1,Market Lot
2392,IC,36.29,INDUSTRY P/E
2393,IC,3.25,EPS (TTM)
2394,IC,10.02,P/C
2395,IC,0.70,PRICE/BOOK
2396,IC,0.87%,DIV YIELD.(%)
2397,IC,10.00,FACE VALUE (Rs)
2398,IHF01,"50,822.14",MARKET CAP (Rs Cr)
2399,IHF01,14.25,P/E
2400,IHF01,361.84,BOOK VALUE (Rs)
2401,IHF01,1350.00%,DIV (%)
2402,IHF01,1,Market Lot
2403,IHF01,36.62,INDUSTRY P/E
2404,IHF01,83.61,EPS (TTM)
2405,IHF01,14.14,P/C
2406,IHF01,3.29,PRICE/BOOK
2407,IHF01,2.27%,DIV YIELD.(%)
2408,IHF01,2.00,FACE VALUE (Rs)
2409,IRE01,"8,122.63",MARKET CAP (Rs Cr)
2410,IRE01,-,P/E
2411,IRE01,128.97,BOOK VALUE (Rs)
2412,IRE01,0.00%,DIV (%)
2413,IRE01,1,Market Lot
2414,IRE01,30.60,INDUSTRY P/E
2415,IRE01,-,EPS (TTM)
2416,IRE01,-,P/C
2417,IRE01,1.32,PRICE/BOOK
2418,IRE01,-%,DIV YIELD.(%)
2419,IRE01,2.00,FACE VALUE (Rs)
2420,IS13,"26,468.08",MARKET CAP (Rs Cr)
2421,IS13,507.97,P/E
2422,IS13,42.13,BOOK VALUE (Rs)
2423,IS13,50.00%,DIV (%)
2424,IS13,1,Market Lot
2425,IS13,36.62,INDUSTRY P/E
2426,IS13,0.96,EPS (TTM)
2427,IS13,492.58,P/C
2428,IS13,11.57,PRICE/BOOK
2429,IS13,0.21%,DIV YIELD.(%)
2430,IS13,2.00,FACE VALUE (Rs)
2431,IB04,"16,891.86",MARKET CAP (Rs Cr)
2432,IB04,13.42,P/E
2433,IB04,329.53,BOOK VALUE (Rs)
2434,IB04,0.00%,DIV (%)
2435,IB04,1,Market Lot
2436,IB04,12.43,INDUSTRY P/E
2437,IB04,26.21,EPS (TTM)
2438,IB04,11.29,P/C
2439,IB04,1.07,PRICE/BOOK
2440,IB04,-%,DIV YIELD.(%)
2441,IB04,10.00,FACE VALUE (Rs)
2442,IHC,"15,769.57",MARKET CAP (Rs Cr)
2443,IHC,109.59,P/E
2444,IHC,34.48,BOOK VALUE (Rs)
2445,IHC,35.00%,DIV (%)
2446,IHC,1,Market Lot
2447,IHC,69.32,INDUSTRY P/E
2448,IHC,1.21,EPS (TTM)
2449,IHC,53.25,P/C
2450,IHC,3.85,PRICE/BOOK
2451,IHC,0.26%,DIV YIELD.(%)
2452,IHC,1.00,FACE VALUE (Rs)
2453,ICI07,"1,341.33",MARKET CAP (Rs Cr)
2454,ICI07,10.23,P/E
2455,ICI07,48.51,BOOK VALUE (Rs)
2456,ICI07,40.00%,DIV (%)
2457,ICI07,1,Market Lot
2458,ICI07,14.46,INDUSTRY P/E
2459,ICI07,6.64,EPS (TTM)
2460,ICI07,8.31,P/C
2461,ICI07,1.40,PRICE/BOOK
2462,ICI07,1.18%,DIV YIELD.(%)
2463,ICI07,2.00,FACE VALUE (Rs)
2464,IR05,"1,832.87",MARKET CAP (Rs Cr)
2465,IR05,44.50,P/E
2466,IR05,75.21,BOOK VALUE (Rs)
2467,IR05,80.00%,DIV (%)
2468,IR05,1,Market Lot
2469,IR05,29.05,INDUSTRY P/E
2470,IR05,4.47,EPS (TTM)
2471,IR05,16.83,P/C
2472,IR05,2.64,PRICE/BOOK
2473,IR05,0.80%,DIV YIELD.(%)
2474,IR05,2.00,FACE VALUE (Rs)
2475,IIB,"118,030.67",MARKET CAP (Rs Cr)
2476,IIB,32.73,P/E
2477,IIB,397.47,BOOK VALUE (Rs)
2478,IIB,60.00%,DIV (%)
2479,IIB,1,Market Lot
2480,IIB,32.64,INDUSTRY P/E
2481,IIB,60.06,EPS (TTM)
2482,IIB,32.73,P/C
2483,IIB,4.95,PRICE/BOOK
2484,IIB,0.31%,DIV YIELD.(%)
2485,IIB,10.00,FACE VALUE (Rs)
2486,IIL03,"10,125.19",MARKET CAP (Rs Cr)
2487,IIL03,"1,018.67",P/E
2488,IIL03,12.54,BOOK VALUE (Rs)
2489,IIL03,0.00%,DIV (%)
2490,IIL03,1,Market Lot
2491,IIL03,745.23,INDUSTRY P/E
2492,IIL03,0.15,EPS (TTM)
2493,IIL03,191.00,P/C
2494,IIL03,12.19,PRICE/BOOK
2495,IIL03,-%,DIV YIELD.(%)
2496,IIL03,1.00,FACE VALUE (Rs)
2497,IEI01,"15,231.60",MARKET CAP (Rs Cr)
2498,IEI01,83.51,P/E
2499,IEI01,177.69,BOOK VALUE (Rs)
2500,IEI01,45.00%,DIV (%)
2501,IEI01,1,Market Lot
2502,IEI01,39.36,INDUSTRY P/E
2503,IEI01,14.96,EPS (TTM)
2504,IEI01,74.68,P/C
2505,IEI01,7.03,PRICE/BOOK
2506,IEI01,0.36%,DIV YIELD.(%)
2507,IEI01,10.00,FACE VALUE (Rs)
2508,IT,"279,666.55",MARKET CAP (Rs Cr)
2509,IT,17.31,P/E
2510,IT,290.74,BOOK VALUE (Rs)
2511,IT,515.00%,DIV (%)
2512,IT,1,Market Lot
2513,IT,21.82,INDUSTRY P/E
2514,IT,73.97,EPS (TTM)
2515,IT,15.92,P/C
2516,IT,4.40,PRICE/BOOK
2517,IT,2.01%,DIV YIELD.(%)
2518,IT,5.00,FACE VALUE (Rs)
2519,IRI01,"1,809.16",MARKET CAP (Rs Cr)
2520,IRI01,20.35,P/E
2521,IRI01,364.43,BOOK VALUE (Rs)
2522,IRI01,60.00%,DIV (%)
2523,IRI01,1,Market Lot
2524,IRI01,32.28,INDUSTRY P/E
2525,IRI01,28.16,EPS (TTM)
2526,IRI01,17.83,P/C
2527,IRI01,1.57,PRICE/BOOK
2528,IRI01,1.05%,DIV YIELD.(%)
2529,IRI01,10.00,FACE VALUE (Rs)
2530,INO01,"2,553.24",MARKET CAP (Rs Cr)
2531,INO01,22.26,P/E
2532,INO01,72.59,BOOK VALUE (Rs)
2533,INO01,0.00%,DIV (%)
2534,INO01,1,Market Lot
2535,INO01,35.36,INDUSTRY P/E
2536,INO01,11.89,EPS (TTM)
2537,INO01,12.68,P/C
2538,INO01,3.65,PRICE/BOOK
2539,INO01,-%,DIV YIELD.(%)
2540,INO01,10.00,FACE VALUE (Rs)
2541,IW,"1,871.88",MARKET CAP (Rs Cr)
2542,IW,-,P/E
2543,IW,90.47,BOOK VALUE (Rs)
2544,IW,0.00%,DIV (%)
2545,IW,1,Market Lot
2546,IW,23.24,INDUSTRY P/E
2547,IW,-,EPS (TTM)
2548,IW,-,P/C
2549,IW,0.93,PRICE/BOOK
2550,IW,-%,DIV YIELD.(%)
2551,IW,10.00,FACE VALUE (Rs)
2552,IDA,"2,683.65",MARKET CAP (Rs Cr)
2553,IDA,81.74,P/E
2554,IDA,55.77,BOOK VALUE (Rs)
2555,IDA,0.00%,DIV (%)
2556,IDA,1,Market Lot
2557,IDA,21.82,INDUSTRY P/E
2558,IDA,2.61,EPS (TTM)
2559,IDA,46.28,P/C
2560,IDA,3.83,PRICE/BOOK
2561,IDA,-%,DIV YIELD.(%)
2562,IDA,5.00,FACE VALUE (Rs)
2563,IA04,"46,880.34",MARKET CAP (Rs Cr)
2564,IA04,20.91,P/E
2565,IA04,157.24,BOOK VALUE (Rs)
2566,IA04,340.00%,DIV (%)
2567,IA04,1,Market Lot
2568,IA04,19.25,INDUSTRY P/E
2569,IA04,58.33,EPS (TTM)
2570,IA04,17.50,P/C
2571,IA04,7.76,PRICE/BOOK
2572,IA04,2.79%,DIV YIELD.(%)
2573,IA04,10.00,FACE VALUE (Rs)
2574,IOB,"7,507.33",MARKET CAP (Rs Cr)
2575,IOB,-,P/E
2576,IOB,15.78,BOOK VALUE (Rs)
2577,IOB,0.00%,DIV (%)
2578,IOB,1,Market Lot
2579,IOB,12.43,INDUSTRY P/E
2580,IOB,-,EPS (TTM)
2581,IOB,-,P/C
2582,IOB,0.97,PRICE/BOOK
2583,IOB,-%,DIV YIELD.(%)
2584,IOB,10.00,FACE VALUE (Rs)
2585,IOC,"163,255.52",MARKET CAP (Rs Cr)
2586,IOC,7.65,P/E
2587,IOC,102.81,BOOK VALUE (Rs)
2588,IOC,190.00%,DIV (%)
2589,IOC,1,Market Lot
2590,IOC,8.41,INDUSTRY P/E
2591,IOC,21.98,EPS (TTM)
2592,IOC,5.75,P/C
2593,IOC,1.64,PRICE/BOOK
2594,IOC,11.30%,DIV YIELD.(%)
2595,IOC,10.00,FACE VALUE (Rs)
2596,IL,"8,559.09",MARKET CAP (Rs Cr)
2597,IL,36.72,P/E
2598,IL,214.34,BOOK VALUE (Rs)
2599,IL,50.00%,DIV (%)
2600,IL,1,Market Lot
2601,IL,29.05,INDUSTRY P/E
2602,IL,18.45,EPS (TTM)
2603,IL,21.00,P/C
2604,IL,3.16,PRICE/BOOK
2605,IL,0.15%,DIV YIELD.(%)
2606,IL,2.00,FACE VALUE (Rs)
2607,IID01,"8,039.42",MARKET CAP (Rs Cr)
2608,IID01,18.10,P/E
2609,IID01,83.92,BOOK VALUE (Rs)
2610,IID01,50.00%,DIV (%)
2611,IID01,1,Market Lot
2612,IID01,30.60,INDUSTRY P/E
2613,IID01,12.64,EPS (TTM)
2614,IID01,18.10,P/C
2615,IID01,2.73,PRICE/BOOK
2616,IID01,2.19%,DIV YIELD.(%)
2617,IID01,10.00,FACE VALUE (Rs)
2618,SIS06,"4,053.28",MARKET CAP (Rs Cr)
2619,SIS06,34.07,P/E
2620,SIS06,1692.49,BOOK VALUE (Rs)
2621,SIS06,300.00%,DIV (%)
2622,SIS06,1,Market Lot
2623,SIS06,23.24,INDUSTRY P/E
2624,SIS06,161.81,EPS (TTM)
2625,SIS06,21.78,P/C
2626,SIS06,3.26,PRICE/BOOK
2627,SIS06,0.54%,DIV YIELD.(%)
2628,SIS06,10.00,FACE VALUE (Rs)
2629,ITC,"322,803.60",MARKET CAP (Rs Cr)
2630,ITC,28.75,P/E
2631,ITC,46.35,BOOK VALUE (Rs)
2632,ITC,475.00%,DIV (%)
2633,ITC,1,Market Lot
2634,ITC,28.93,INDUSTRY P/E
2635,ITC,9.20,EPS (TTM)
2636,ITC,26.11,P/C
2637,ITC,5.71,PRICE/BOOK
2638,ITC,1.80%,DIV YIELD.(%)
2639,ITC,1.00,FACE VALUE (Rs)
2640,ITD03,"2,460.00",MARKET CAP (Rs Cr)
2641,ITD03,29.11,P/E
2642,ITD03,36.03,BOOK VALUE (Rs)
2643,ITD03,40.00%,DIV (%)
2644,ITD03,1,Market Lot
2645,ITD03,30.60,INDUSTRY P/E
2646,ITD03,4.92,EPS (TTM)
2647,ITD03,17.61,P/C
2648,ITD03,3.97,PRICE/BOOK
2649,ITD03,0.28%,DIV YIELD.(%)
2650,ITD03,1.00,FACE VALUE (Rs)
2651,KI01,"1,969.95",MARKET CAP (Rs Cr)
2652,KI01,14.42,P/E
2653,KI01,201.62,BOOK VALUE (Rs)
2654,KI01,40.00%,DIV (%)
2655,KI01,1,Market Lot
2656,KI01,30.60,INDUSTRY P/E
2657,KI01,18.05,EPS (TTM)
2658,KI01,9.41,P/C
2659,KI01,1.29,PRICE/BOOK
2660,KI01,0.77%,DIV YIELD.(%)
2661,KI01,5.00,FACE VALUE (Rs)
2662,JKC03,"6,396.94",MARKET CAP (Rs Cr)
2663,JKC03,18.71,P/E
2664,JKC03,323.51,BOOK VALUE (Rs)
2665,JKC03,80.00%,DIV (%)
2666,JKC03,1,Market Lot
2667,JKC03,36.29,INDUSTRY P/E
2668,JKC03,48.89,EPS (TTM)
2669,JKC03,12.11,P/C
2670,JKC03,2.83,PRICE/BOOK
2671,JKC03,0.87%,DIV YIELD.(%)
2672,JKC03,10.00,FACE VALUE (Rs)
2673,JP12,"4,616.68",MARKET CAP (Rs Cr)
2674,JP12,17.36,P/E
2675,JP12,62.08,BOOK VALUE (Rs)
2676,JP12,150.00%,DIV (%)
2677,JP12,1,Market Lot
2678,JP12,15.58,INDUSTRY P/E
2679,JP12,8.54,EPS (TTM)
2680,JP12,13.25,P/C
2681,JP12,2.39,PRICE/BOOK
2682,JP12,2.02%,DIV YIELD.(%)
2683,JP12,2.00,FACE VALUE (Rs)
2684,JC08,"2,678.53",MARKET CAP (Rs Cr)
2685,JC08,109.56,P/E
2686,JC08,62.13,BOOK VALUE (Rs)
2687,JC08,50.00%,DIV (%)
2688,JC08,1,Market Lot
2689,JC08,60.72,INDUSTRY P/E
2690,JC08,1.37,EPS (TTM)
2691,JC08,67.31,P/C
2692,JC08,2.42,PRICE/BOOK
2693,JC08,0.33%,DIV YIELD.(%)
2694,JC08,1.00,FACE VALUE (Rs)
2695,JIS02,"4,854.46",MARKET CAP (Rs Cr)
2696,JIS02,17.28,P/E
2697,JIS02,92.69,BOOK VALUE (Rs)
2698,JIS02,37.50%,DIV (%)
2699,JIS02,1,Market Lot
2700,JIS02,17.69,INDUSTRY P/E
2701,JIS02,5.66,EPS (TTM)
2702,JIS02,10.29,P/C
2703,JIS02,1.06,PRICE/BOOK
2704,JIS02,0.77%,DIV YIELD.(%)
2705,JIS02,2.00,FACE VALUE (Rs)
2706,JA02,"3,514.90",MARKET CAP (Rs Cr)
2707,JA02,9.97,P/E
2708,JA02,32.52,BOOK VALUE (Rs)
2709,JA02,0.00%,DIV (%)
2710,JA02,1,Market Lot
2711,JA02,30.60,INDUSTRY P/E
2712,JA02,1.45,EPS (TTM)
2713,JA02,4.09,P/C
2714,JA02,0.44,PRICE/BOOK
2715,JA02,-%,DIV YIELD.(%)
2716,JA02,2.00,FACE VALUE (Rs)
2717,JBC01,"2,382.58",MARKET CAP (Rs Cr)
2718,JBC01,18.61,P/E
2719,JBC01,181.36,BOOK VALUE (Rs)
2720,JBC01,50.00%,DIV (%)
2721,JBC01,1,Market Lot
2722,JBC01,29.05,INDUSTRY P/E
2723,JBC01,15.32,EPS (TTM)
2724,JBC01,12.95,P/C
2725,JBC01,1.57,PRICE/BOOK
2726,JBC01,0.35%,DIV YIELD.(%)
2727,JBC01,2.00,FACE VALUE (Rs)
2728,JBF,591.11,MARKET CAP (Rs Cr)
2729,JBF,-,P/E
2730,JBF,194.42,BOOK VALUE (Rs)
2731,JBF,10.00%,DIV (%)
