,DETAIL,magnitude,parameter
343,AB,112.28,BOOK VALUE (Rs)
344,AB,32.00%,DIV (%)
345,AB,1,Market Lot
346,AB,30.60,INDUSTRY P/E
347,AB,13.47,EPS (TTM)
348,AB,14.48,P/C
349,AB,2.10,PRICE/BOOK
350,AB,0.68%,DIV YIELD.(%)
351,AB,5.00,FACE VALUE (Rs)
352,AP31,"122,878.03",MARKET CAP (Rs Cr)
353,AP31,64.83,P/E
354,AP31,81.30,BOOK VALUE (Rs)
355,AP31,870.00%,DIV (%)
356,AP31,1,Market Lot
357,AP31,57.09,INDUSTRY P/E
358,AP31,19.76,EPS (TTM)
359,AP31,55.70,P/C
360,AP31,15.76,PRICE/BOOK
361,AP31,0.68%,DIV YIELD.(%)
362,AP31,1.00,FACE VALUE (Rs)
363,AMP01,871.75,MARKET CAP (Rs Cr)
364,AMP01,14.36,P/E
365,AMP01,59.44,BOOK VALUE (Rs)
366,AMP01,50.00%,DIV (%)
367,AMP01,1,Market Lot
368,AMP01,29.78,INDUSTRY P/E
369,AMP01,7.01,EPS (TTM)
370,AMP01,9.94,P/C
371,AMP01,1.69,PRICE/BOOK
372,AMP01,0.99%,DIV YIELD.(%)
373,AMP01,2.00,FACE VALUE (Rs)
374,APT02,"12,175.15",MARKET CAP (Rs Cr)
375,APT02,102.25,P/E
376,APT02,69.71,BOOK VALUE (Rs)
377,APT02,50.00%,DIV (%)
378,APT02,1,Market Lot
379,APT02,85.68,INDUSTRY P/E
380,APT02,9.94,EPS (TTM)
381,APT02,73.49,P/C
382,APT02,14.58,PRICE/BOOK
383,APT02,0.05%,DIV YIELD.(%)
384,APT02,1.00,FACE VALUE (Rs)
385,AZP,"3,268.00",MARKET CAP (Rs Cr)
386,AZP,125.45,P/E
387,AZP,82.55,BOOK VALUE (Rs)
388,AZP,0.00%,DIV (%)
389,AZP,1,Market Lot
390,AZP,29.05,INDUSTRY P/E
391,AZP,10.42,EPS (TTM)
392,AZP,80.10,P/C
393,AZP,15.84,PRICE/BOOK
394,AZP,-%,DIV YIELD.(%)
395,AZP,2.00,FACE VALUE (Rs)
396,A06,"8,040.70",MARKET CAP (Rs Cr)
397,A06,29.74,P/E
398,A06,738.73,BOOK VALUE (Rs)
399,A06,100.00%,DIV (%)
400,A06,1,Market Lot
401,A06,22.45,INDUSTRY P/E
402,A06,91.16,EPS (TTM)
403,A06,21.43,P/C
404,A06,3.67,PRICE/BOOK
405,A06,0.37%,DIV YIELD.(%)
406,A06,10.00,FACE VALUE (Rs)
407,AP,"35,942.50",MARKET CAP (Rs Cr)
408,AP,19.83,P/E
409,AP,174.92,BOOK VALUE (Rs)
410,AP,250.00%,DIV (%)
411,AP,1,Market Lot
412,AP,29.05,INDUSTRY P/E
413,AP,30.94,EPS (TTM)
414,AP,16.58,P/C
415,AP,3.51,PRICE/BOOK
416,AP,0.41%,DIV YIELD.(%)
417,AP,1.00,FACE VALUE (Rs)
418,AF21,"8,362.53",MARKET CAP (Rs Cr)
419,AF21,20.15,P/E
420,AF21,217.40,BOOK VALUE (Rs)
421,AF21,450.00%,DIV (%)
422,AF21,1,Market Lot
423,AF21,19.94,INDUSTRY P/E
424,AF21,91.37,EPS (TTM)
425,AF21,19.46,P/C
426,AF21,8.47,PRICE/BOOK
427,AF21,0.49%,DIV YIELD.(%)
428,AF21,2.00,FACE VALUE (Rs)
429,AS19,"95,990.43",MARKET CAP (Rs Cr)
430,AS19,122.36,P/E
431,AS19,74.06,BOOK VALUE (Rs)
432,AS19,0.00%,DIV (%)
433,AS19,1,Market Lot
434,AS19,151.28,INDUSTRY P/E
435,AS19,12.57,EPS (TTM)
436,AS19,102.20,P/C
437,AS19,20.77,PRICE/BOOK
438,AS19,-%,DIV YIELD.(%)
439,AS19,10.00,FACE VALUE (Rs)
440,AB16,"135,585.38",MARKET CAP (Rs Cr)
441,AB16,493.46,P/E
442,AB16,217.29,BOOK VALUE (Rs)
443,AB16,0.00%,DIV (%)
444,AB16,1,Market Lot
445,AB16,32.64,INDUSTRY P/E
446,AB16,1.07,EPS (TTM)
447,AB16,160.49,P/C
448,AB16,2.43,PRICE/BOOK
449,AB16,-%,DIV YIELD.(%)
450,AB16,2.00,FACE VALUE (Rs)
451,BA10,"83,156.85",MARKET CAP (Rs Cr)
452,BA10,20.44,P/E
453,BA10,729.25,BOOK VALUE (Rs)
454,BA10,550.00%,DIV (%)
455,BA10,1,Market Lot
456,BA10,22.15,INDUSTRY P/E
457,BA10,140.59,EPS (TTM)
458,BA10,18.97,P/C
459,BA10,3.94,PRICE/BOOK
460,BA10,1.91%,DIV YIELD.(%)
461,BA10,10.00,FACE VALUE (Rs)
462,BC02,"6,274.65",MARKET CAP (Rs Cr)
463,BC02,29.02,P/E
464,BC02,48.68,BOOK VALUE (Rs)
465,BC02,1150.00%,DIV (%)
466,BC02,1,Market Lot
467,BC02,66.23,INDUSTRY P/E
468,BC02,14.66,EPS (TTM)
469,BC02,28.12,P/C
470,BC02,8.74,PRICE/BOOK
471,BC02,2.70%,DIV YIELD.(%)
472,BC02,1.00,FACE VALUE (Rs)
473,BE,"5,482.47",MARKET CAP (Rs Cr)
474,BE,65.52,P/E
475,BE,93.62,BOOK VALUE (Rs)
476,BE,140.00%,DIV (%)
477,BE,1,Market Lot
478,BE,48.93,INDUSTRY P/E
479,BE,8.20,EPS (TTM)
480,BE,46.64,P/C
481,BE,5.74,PRICE/BOOK
482,BE,0.52%,DIV YIELD.(%)
483,BE,2.00,FACE VALUE (Rs)
484,BAF,"131,961.74",MARKET CAP (Rs Cr)
485,BAF,49.86,P/E
486,BAF,212.01,BOOK VALUE (Rs)
487,BAF,180.00%,DIV (%)
488,BAF,1,Market Lot
489,BAF,36.62,INDUSTRY P/E
490,BAF,45.79,EPS (TTM)
491,BAF,48.01,P/C
492,BAF,10.77,PRICE/BOOK
493,BAF,0.16%,DIV YIELD.(%)
494,BAF,2.00,FACE VALUE (Rs)
495,BF04,"95,218.49",MARKET CAP (Rs Cr)
496,BF04,673.82,P/E
497,BF04,182.70,BOOK VALUE (Rs)
498,BF04,35.00%,DIV (%)
499,BF04,1,Market Lot
500,BF04,36.62,INDUSTRY P/E
501,BF04,8.88,EPS (TTM)
502,BF04,667.06,P/C
503,BF04,32.75,PRICE/BOOK
504,BF04,0.03%,DIV YIELD.(%)
505,BF04,5.00,FACE VALUE (Rs)
506,BH06,861.51,MARKET CAP (Rs Cr)
507,BH06,-,P/E
508,BH06,31.08,BOOK VALUE (Rs)
509,BH06,0.00%,DIV (%)
510,BH06,1,Market Lot
511,BH06,10.33,INDUSTRY P/E
512,BH06,-,EPS (TTM)
513,BH06,-,P/C
514,BH06,0.24,PRICE/BOOK
515,BH06,-%,DIV YIELD.(%)
516,BH06,1.00,FACE VALUE (Rs)
517,BHI,"33,311.26",MARKET CAP (Rs Cr)
518,BHI,25.36,P/E
519,BHI,777.20,BOOK VALUE (Rs)
520,BHI,325.00%,DIV (%)
521,BHI,1,Market Lot
522,BHI,36.62,INDUSTRY P/E
523,BHI,118.03,EPS (TTM)
524,BHI,25.26,P/C
525,BHI,3.85,PRICE/BOOK
526,BHI,1.09%,DIV YIELD.(%)
527,BHI,10.00,FACE VALUE (Rs)
528,BI03,"21,321.92",MARKET CAP (Rs Cr)
529,BI03,28.84,P/E
530,BI03,183.56,BOOK VALUE (Rs)
531,BI03,400.00%,DIV (%)
532,BI03,1,Market Lot
533,BI03,27.04,INDUSTRY P/E
534,BI03,38.24,EPS (TTM)
535,BI03,20.30,P/C
536,BI03,6.01,PRICE/BOOK
537,BI03,0.73%,DIV YIELD.(%)
538,BI03,2.00,FACE VALUE (Rs)
539,BLC,"2,523.45",MARKET CAP (Rs Cr)
540,BLC,13.66,P/E
541,BLC,118.49,BOOK VALUE (Rs)
542,BLC,70.00%,DIV (%)
543,BLC,1,Market Lot
544,BLC,22.07,INDUSTRY P/E
545,BLC,16.21,EPS (TTM)
546,BLC,11.94,P/C
547,BLC,1.87,PRICE/BOOK
548,BLC,3.16%,DIV YIELD.(%)
549,BLC,10.00,FACE VALUE (Rs)
550,BCM,"1,684.66",MARKET CAP (Rs Cr)
551,BCM,7.62,P/E
552,BCM,77.12,BOOK VALUE (Rs)
553,BCM,350.00%,DIV (%)
554,BCM,1,Market Lot
555,BCM,10.33,INDUSTRY P/E
556,BCM,9.68,EPS (TTM)
557,BCM,5.32,P/C
558,BCM,0.96,PRICE/BOOK
559,BCM,4.75%,DIV YIELD.(%)
560,BCM,1.00,FACE VALUE (Rs)
561,BOB,"34,801.76",MARKET CAP (Rs Cr)
562,BOB,-,P/E
563,BOB,143.41,BOOK VALUE (Rs)
564,BOB,60.00%,DIV (%)
565,BOB,1,Market Lot
566,BOB,12.43,INDUSTRY P/E
567,BOB,-,EPS (TTM)
568,BOB,-,P/C
569,BOB,0.92,PRICE/BOOK
570,BOB,0.91%,DIV YIELD.(%)
571,BOB,2.00,FACE VALUE (Rs)
572,BOI,"17,142.19",MARKET CAP (Rs Cr)
573,BOI,-,P/E
574,BOI,145.78,BOOK VALUE (Rs)
575,BOI,0.00%,DIV (%)
576,BOI,1,Market Lot
577,BOI,12.43,INDUSTRY P/E
578,BOI,-,EPS (TTM)
579,BOI,-,P/C
580,BOI,0.67,PRICE/BOOK
581,BOI,-%,DIV YIELD.(%)
582,BOI,10.00,FACE VALUE (Rs)
583,BM05,"3,523.50",MARKET CAP (Rs Cr)
584,BM05,-,P/E
585,BM05,38.27,BOOK VALUE (Rs)
586,BM05,0.00%,DIV (%)
587,BM05,1,Market Lot
588,BM05,12.43,INDUSTRY P/E
589,BM05,-,EPS (TTM)
590,BM05,-,P/C
591,BM05,0.35,PRICE/BOOK
592,BM05,-%,DIV YIELD.(%)
593,BM05,10.00,FACE VALUE (Rs)
594,BAS,"8,755.39",MARKET CAP (Rs Cr)
595,BAS,35.52,P/E
596,BAS,311.59,BOOK VALUE (Rs)
597,BAS,10.00%,DIV (%)
598,BAS,1,Market Lot
599,BAS,24.63,INDUSTRY P/E
600,BAS,56.95,EPS (TTM)
601,BAS,21.90,P/C
602,BAS,6.49,PRICE/BOOK
603,BAS,0.05%,DIV YIELD.(%)
604,BAS,10.00,FACE VALUE (Rs)
605,BI01,"10,009.72",MARKET CAP (Rs Cr)
606,BI01,44.76,P/E
607,BI01,120.51,BOOK VALUE (Rs)
608,BI01,70.00%,DIV (%)
609,BI01,1,Market Lot
610,BI01,40.15,INDUSTRY P/E
611,BI01,17.40,EPS (TTM)
612,BI01,35.24,P/C
613,BI01,6.46,PRICE/BOOK
614,BI01,0.45%,DIV YIELD.(%)
615,BI01,5.00,FACE VALUE (Rs)
616,BC12,"16,134.04",MARKET CAP (Rs Cr)
617,BC12,53.76,P/E
618,BC12,686.13,BOOK VALUE (Rs)
619,BC12,170.00%,DIV (%)
620,BC12,1,Market Lot
621,BC12,39.10,INDUSTRY P/E
622,BC12,87.41,EPS (TTM)
623,BC12,48.42,P/C
624,BC12,6.85,PRICE/BOOK
625,BC12,0.36%,DIV YIELD.(%)
626,BC12,10.00,FACE VALUE (Rs)
627,BEM03,"3,635.56",MARKET CAP (Rs Cr)
628,BEM03,28.09,P/E
629,BEM03,554.91,BOOK VALUE (Rs)
630,BEM03,80.00%,DIV (%)
631,BEM03,1,Market Lot
632,BEM03,23.24,INDUSTRY P/E
633,BEM03,31.08,EPS (TTM)
634,BEM03,18.77,P/C
635,BEM03,1.57,PRICE/BOOK
636,BEM03,0.92%,DIV YIELD.(%)
637,BEM03,10.00,FACE VALUE (Rs)
638,BPI02,"28,315.28",MARKET CAP (Rs Cr)
639,BPI02,64.51,P/E
640,BPI02,24.24,BOOK VALUE (Rs)
641,BPI02,175.00%,DIV (%)
642,BPI02,1,Market Lot
643,BPI02,57.09,INDUSTRY P/E
644,BPI02,4.52,EPS (TTM)
645,BPI02,51.43,P/C
646,BPI02,12.03,PRICE/BOOK
647,BPI02,0.60%,DIV YIELD.(%)
648,BPI02,1.00,FACE VALUE (Rs)
649,BFU,"1,342.47",MARKET CAP (Rs Cr)
650,BFU,84.86,P/E
651,BFU,26.70,BOOK VALUE (Rs)
652,BFU,0.00%,DIV (%)
653,BFU,1,Market Lot
654,BFU,11.73,INDUSTRY P/E
655,BFU,4.20,EPS (TTM)
656,BFU,68.28,P/C
657,BFU,13.35,PRICE/BOOK
658,BFU,-%,DIV YIELD.(%)
659,BFU,5.00,FACE VALUE (Rs)
660,BE03,"28,746.79",MARKET CAP (Rs Cr)
661,BE03,20.53,P/E
662,BE03,30.56,BOOK VALUE (Rs)
663,BE03,225.00%,DIV (%)
664,BE03,1,Market Lot
665,BE03,20.88,INDUSTRY P/E
666,BE03,5.70,EPS (TTM)
667,BE03,17.41,P/C
668,BE03,3.83,PRICE/BOOK
669,BE03,1.92%,DIV YIELD.(%)
670,BE03,1.00,FACE VALUE (Rs)
671,SM11,"16,619.10",MARKET CAP (Rs Cr)
672,SM11,36.49,P/E
673,SM11,175.61,BOOK VALUE (Rs)
674,SM11,0.00%,DIV (%)
675,SM11,1,Market Lot
676,SM11,36.62,INDUSTRY P/E
677,SM11,32.67,EPS (TTM)
678,SM11,35.46,P/C
679,SM11,6.79,PRICE/BOOK
680,SM11,-%,DIV YIELD.(%)
681,SM11,10.00,FACE VALUE (Rs)
682,BF03,"29,886.13",MARKET CAP (Rs Cr)
683,BF03,42.26,P/E
684,BF03,90.89,BOOK VALUE (Rs)
685,BF03,475.00%,DIV (%)
686,BF03,1,Market Lot
687,BF03,46.42,INDUSTRY P/E
688,BF03,15.19,EPS (TTM)
689,BF03,29.47,P/C
690,BF03,7.06,PRICE/BOOK
691,BF03,1.48%,DIV YIELD.(%)
692,BF03,2.00,FACE VALUE (Rs)
693,BA08,"150,921.84",MARKET CAP (Rs Cr)
694,BA08,"1,887.75",P/E
695,BA08,253.38,BOOK VALUE (Rs)
696,BA08,20.00%,DIV (%)
697,BA08,1,Market Lot
698,BA08,341.93,INDUSTRY P/E
699,BA08,0.20,EPS (TTM)
700,BA08,11.50,P/C
701,BA08,1.49,PRICE/BOOK
702,BA08,0.26%,DIV YIELD.(%)
