,BOOK VALUE (Rs),DIV (%),DIV YIELD.(%),EPS (TTM),FACE VALUE (Rs),INDUSTRY P/E,MARKET CAP (Rs Cr),Market Lot,P/C,P/E,PRICE/BOOK,company_code
0,6.78,0.00%,-%,0.17,6.00,39.36,"10,295.35",1,179.33,316.47,7.94,FVI
0,93.56,40.00%,0.19%,5.80,2.00,74.38,"8,220.85",1,31.64,74.34,4.61,FLF01
0,51.17,0.00%,-%,0.41,2.00,151.28,"27,939.22",1,378.23,"1,356.10",10.87,FR
0,169.17,112.00%,3.34%,20.48,10.00,11.73,"75,544.88",1,12.52,16.36,1.98,GAI
0,74.05,70.00%,3.93%,3.50,10.00,39.36,"1,936.45",1,31.08,50.89,2.41,GD01
0,58.33,40.00%,0.89%,3.18,2.00,52.73,971.76,1,24.68,28.18,1.54,G04
0,49.74,0.00%,-%,10.05,2.00,30.60,"3,280.66",1,13.51,17.44,3.52,GP10
0,127.48,30.00%,0.36%,3.95,10.00,14.41,"5,581.22",1,72.13,210.18,6.51,AP29
0,352.99,101.00%,3.18%,10.62,10.00,18.22,"4,794.71",1,7.36,29.94,0.90,GES
0,48.49,90.00%,0.58%,8.15,2.00,14.41,"7,908.00",1,26.49,37.90,6.37,ATD
0,189.90,50.00%,1.30%,34.25,10.00,23.49,"2,072.19",1,11.20,11.24,2.03,GIC
0,153.63,1640.00%,2.51%,71.23,10.00,66.23,"21,283.03",1,78.69,91.70,42.51,GI22
0,908.98,700.00%,1.13%,166.47,10.00,64.74,"25,968.45",1,33.97,37.09,6.79,GSC04
0,281.00,300.00%,1.09%,41.55,10.00,29.05,"23,247.59",1,59.61,66.06,9.77,GSK
0,370.38,200.00%,0.34%,35.95,1.00,29.05,"16,533.64",1,14.60,16.30,1.58,GP08
0,7.60,0.00%,-%,-,1.00,22.48,"9,597.15",1,-,-,2.09,GI27
0,295.40,50.00%,1.07%,50.80,10.00,14.80,"7,281.37",1,6.87,9.22,1.59,GNV
0,337.08,400.00%,1.09%,30.92,2.00,28.93,"3,820.25",1,14.90,23.76,2.18,GPI
0,64.55,1500.00%,1.29%,14.68,1.00,66.23,"79,245.44",1,74.56,79.23,18.02,GCP
0,55.22,175.00%,0.28%,7.18,1.00,66.23,"20,687.43",1,66.70,85.65,11.14,GI23
0,95.58,0.00%,-%,9.17,5.00,30.60,"17,532.73",1,77.94,83.38,8.00,GP11
