company_code,company_category,company_name,BOOK_VALUE_RS,DIV_PERCENT,DIV_YIELD_PERCENT,EPS_TTM,FACE_VALUE,INDUSTRY_P_BY_E,MARKETCAP_RS_CR,MARKET_LOT,P_BY_C,P_BY_E,PRICE_BY_BOOK,sector
JKC03,cementmajor,jkcement,323.51,80,0.87,48.89,10,36.29,6396.94,1,12.11,18.71,2.83,CEMENT - MAJOR
JKL01,cementmajor,jklakshmicement,124.55,15,0.23,7.14,5,36.29,3883.11,1,14.75,46.22,2.65,CEMENT - MAJOR
OCL,cementmajor,oclindia,488.16,250,0.43,74.21,2,36.29,6623.75,1,11.23,15.69,2.38,CEMENT - MAJOR
OC10,cementmajor,orientcement,50.34,100,0.84,2.16,1,36.29,2425.65,1,14.23,54.81,2.35,CEMENT - MAJOR
PC,cementmajor,prismjohnson,20.38,0,,1.4,10,36.29,5476.52,1,24.5,77.71,5.34,CEMENT - MAJOR
RC12,cementmajor,rainindustries,27.43,50,0.47,0.92,2,36.29,7194.43,1,227.55,232.5,7.8,CEMENT - MAJOR
MC,cementmajor,theramcocements,155.92,300,0.41,23.15,1,36.29,17518.3,1,20.66,31.53,4.68,CEMENT - MAJOR
SC12,cementmajor,shreecements,2607.07,1400,0.87,397.33,10,36.29,56268.56,1,24.64,40.65,6.2,CEMENT - MAJOR
UTC01,cementmajor,ultratechcement,953.06,100,0.27,81.25,10,36.29,101515.18,1,25.41,45.5,3.88,CEMENT - MAJOR
AE13,trading,adanienterprises,36.04,40,0.3,1.79,1,49.47,14451.5,1,50.73,73.41,3.65,TRADING
MMT,trading,mmtc,9.56,30,0.8,0.33,1,49.47,5632.5,1,104.31,113.79,3.93,TRADING
PTC02,trading,ptcindia,114.66,30,3.62,10.78,10,11.73,2455.39,1,7.62,7.69,0.72,TRADING
SM09,trading,swanenergy,21.05,7.5,0.05,2.98,1,21.7,4031.46,1,51.58,55.39,7.84,TRADING
PFR,retail,adityabirlafashionretail,12.43,0,,1.53,10,71.87,10919.88,1,27.37,92.48,11.38,RETAIL
AS19,retail,avenuesupermarts,74.06,0,,12.57,10,151.28,95672.15,1,101.86,121.96,20.7,RETAIL
FLF01,retail,futurelifestylefashions,93.56,40,0.19,5.8,2,74.38,8217.04,1,31.62,74.31,4.61,RETAIL
FR,retail,futureretail,51.17,0,,0.41,2,151.28,27989.47,1,378.91,1358.54,10.89,RETAIL
SS51,retail,shoppersstop,88.03,15,0.13,1.32,5,151.28,4901.48,1,39.68,422.01,6.33,RETAIL
T04,retail,trent,49.88,100,0.31,3.51,1,71.87,10870.08,1,68.57,93.19,6.56,RETAIL
AL9,transportlogistics,aegislogistics,16.74,105,0.42,3.02,1,44.24,8408.45,1,70.72,83.36,15.04,TRANSPORT & LOGISTICS
AGL02,transportlogistics,allcargologistics,55.81,100,1.79,1.17,2,44.24,2751.79,1,21.09,95.73,2.01,TRANSPORT & LOGISTICS
CCI,transportlogistics,containercorporationindia,332.59,171,1.35,43.04,10,25.25,30781.55,1,21.35,29.34,3.8,TRANSPORT & LOGISTICS
IA04,transportlogistics,interglobeaviation,157.24,340,2.77,58.33,10,19.25,47126.36,1,17.59,21.02,7.8,TRANSPORT & LOGISTICS
NC02,transportlogistics,navkarcorporation,89.09,0,,6.84,10,44.24,2144.9,1,17.03,20.83,1.6,TRANSPORT & LOGISTICS
SJ01,transportlogistics,spicejet,-0.71,0,,9.45,10,19.25,6674.88,1,8.37,11.78,,TRANSPORT & LOGISTICS
AIE01,castingsforgings,aiaengineering,306.61,400,0.51,49.82,2,28.21,14696.06,1,27.5,31.27,5.08,CASTINGS & FORGINGS
BF03,castingsforgings,bharatforge,90.89,475,1.48,15.19,2,46.42,29930.37,1,29.52,42.32,7.07,CASTINGS & FORGINGS
MF19,castingsforgings,mahindracieautomotive,92.45,0,,2.41,10,46.42,9694.61,1,58.07,106.27,2.77,CASTINGS & FORGINGS
ICI,paintsvarnishes,akzonobelindia,301.8,220,1.16,85.84,10,57.09,8818.8,1,19.22,22.02,6.26,PAINTS & VARNISHES
AP31,paintsvarnishes,asianpaints,81.3,870,0.68,19.76,1,57.09,123065.08,1,55.78,64.93,15.78,PAINTS & VARNISHES
BPI02,paintsvarnishes,bergerpaintsindia,24.24,175,0.6,4.52,1,57.09,28164.77,1,51.16,64.17,11.97,PAINTS & VARNISHES
KNP,paintsvarnishes,kansainerolacpaints,57.99,260,0.52,9.58,1,57.09,27002.57,1,45.59,52.3,8.64,PAINTS & VARNISHES
ARB,autoancillaries,amararajabatteries,179.4,425,0.56,27.59,1,30.46,13058.62,1,18.61,27.71,4.26,AUTO ANCILLARIES
B05,autoancillaries,bosch,3332.27,1650,0.91,449.12,10,35.63,55441.84,1,30.17,40.45,5.45,AUTO ANCILLARIES
EI,autoancillaries,exideindustries,66.26,240,0.96,7.86,1,30.46,21250,1,23.23,31.81,3.77,AUTO ANCILLARIES
MI4,autoancillaries,mindaindustries,75.68,110,0.17,15.59,2,73.54,11312.64,1,60.05,83.24,17.15,AUTO ANCILLARIES
MSS01,autoancillaries,mothersonsumisystems,11.9,200,0.65,4.18,1,73.54,64948.8,1,59.21,73.8,25.92,AUTO ANCILLARIES
WAB,autoancillaries,wabcoindia,811.52,140,0.1,143.84,5,64.25,13861.51,1,41.43,50.81,9.01,AUTO ANCILLARIES
AI40,electricequipment,aparindustries,285.38,100,1.39,37.65,10,16.93,2747.88,1,14.19,19.07,2.52,ELECTRIC EQUIPMENT
HI01,electricequipment,havellsindia,63.73,350,0.63,11.39,1,47.97,34551.12,1,40.56,48.5,8.67,ELECTRIC EQUIPMENT
TEE,electricequipment,technoelectricengineeringcompany,87.31,0,,11.74,2,23.24,3275.68,1,24.27,24.76,3.33,ELECTRIC EQUIPMENT
TT14,electricequipment,triveniturbine,14.97,120,1.06,2.98,1,32.05,3720.44,1,31.67,37.84,7.53,ELECTRIC EQUIPMENT
VI02,electricequipment,vguardindustries,14.96,70,0.33,3.13,1,47.97,9076.3,1,59.71,68.1,14.25,ELECTRIC EQUIPMENT
BT09,steeltubespipes,aplapollotubes,213.34,120,0.67,44.32,10,19.46,4268.99,1,28.62,40.59,8.43,STEEL - TUBES & PIPES
JS08,steeltubespipes,jindalsaw,186.07,50,1.04,12.07,2,19.46,3061.65,1,4.77,7.93,0.51,STEEL - TUBES & PIPES
RMT,steeltubespipes,ratnamanimetalstubes,286.49,275,0.54,32.48,2,19.46,4759.48,1,22.41,31.36,3.56,STEEL - TUBES & PIPES
WGS,steeltubespipes,welspuncorp,72.97,10,0.37,4.74,5,19.46,3565.97,1,9.81,28.36,1.84,STEEL - TUBES & PIPES
AHE,hospitalsmedicalservices,apollohospitalsenterprises,274.01,120,0.58,16.76,5,48.56,14461.36,1,28.63,62.02,3.79,HOSPITALS & MEDICAL SERVICES
NH,hospitalsmedicalservices,narayanahrudayalaya,54.65,0,,2.97,10,48.56,4729.93,1,34.09,77.93,4.24,HOSPITALS & MEDICAL SERVICES
TT16,hospitalsmedicalservices,thyrocaretechnologies,96.14,100,1.67,17.88,10,48.56,3209.18,1,29.67,33.41,6.21,HOSPITALS & MEDICAL SERVICES
AT14,tyres,apollotyres,104.18,300,1.12,10.88,1,27.04,15382.42,1,15.59,24.72,2.58,TYRES
BI03,tyres,balkrishnaindustries,183.56,400,0.72,38.24,2,27.04,21351.88,1,20.33,28.88,6.02,TYRES
C07,tyres,ceat,639.03,115,0.86,69.09,10,27.04,5404.33,1,12.25,19.34,2.09,TYRES
JKT01,tyres,jktyreindustries,75.7,125,1.95,1.9,2,27.04,2905.48,1,13.32,67.42,1.69,TYRES
MRF,tyres,mrf,22721.94,600,0.08,2575.44,10,27.04,31935.81,1,17.77,29.24,3.31,TYRES
TVS03,tyres,tvssrichakra,904.51,507,1.69,153.6,10,27.04,2300.91,1,12.38,19.56,3.32,TYRES
A18,textilesdenim,arvind,135.03,24,0.58,9.43,10,36.23,10702.87,1,23.65,43.89,3.06,TEXTILES - DENIM
AIG01,glassglassproducts,asahiindiaglass,28.21,100,0.29,7.62,1,41.97,8503.29,1,30.68,45.91,12.4,GLASS & GLASS PRODUCTS
LOR,glassglassproducts,laopalarg,24.65,100,0.77,6.62,2,41.97,2886,1,33.08,39.27,10.55,GLASS & GLASS PRODUCTS
