,LINK,company_code,company_category,company_name,BOOK_VALUE_RS,DIV_PERCENT,DIV_YIELD_PERCENT,EPS_TTM,FACE_VALUE,INDUSTRY_P_BY_E,MARKETCAP_RS_CR,MARKET_LOT,P_BY_C,P_BY_E,PRICE_BY_BOOK,sector
89,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/titancompany/TI01,TI01,miscellaneous,titancompany,61.67,260.0,0.29,13.1,1.0,68.71,80215.92,1,63.05,68.97,14.65,MISCELLANEOUS
90,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/torrentpower/TP14,TP14,powergenerationdistribution,torrentpower,162.42,22.0,0.87,19.18,10.0,11.73,12169.22,1,5.99,13.2,1.56,POWER - GENERATION & DISTRIBUTION
91,http://www.moneycontrol.com/india/stockpricequote/retail/trent/T04,T04,retail,trent,49.88,100.0,0.31,3.51,1.0,71.87,10801.96,1,68.14,92.61,6.52,RETAIL
92,http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/trident/AI01,AI01,textilesspinningcottonblended,trident,58.64,15.0,2.41,5.18,10.0,14.46,3174.78,1,4.76,12.03,1.06,TEXTILES - SPINNING - COTTON BLENDED
93,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/tv18broadcast/IBN,IBN,mediaentertainment,tv18broadcast,22.13,0.0,,0.56,2.0,35.36,9874.71,1,85.97,102.86,2.6,MEDIA & ENTERTAINMENT
94,http://www.moneycontrol.com/india/stockpricequote/auto23wheelers/tvsmotorcompany/TVS,TVS,auto23wheelers,tvsmotorcompany,64.64,250.0,0.43,13.95,1.0,22.15,27638.19,1,27.6,41.7,9.0,AUTO - 2 & 3 WHEELERS
95,http://www.moneycontrol.com/india/stockpricequote/electricequipment/vguardindustries/VI02,VI02,electricequipment,vguardindustries,14.96,70.0,0.33,3.13,1.0,47.97,9074.17,1,59.69,68.08,14.24,ELECTRIC EQUIPMENT
96,http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/vardhmantextiles/VT10,VT10,textilesspinningcottonblended,vardhmantextiles,694.17,150.0,1.23,95.01,10.0,14.46,6991.05,1,9.03,12.81,1.75,TEXTILES - SPINNING - COTTON BLENDED
97,http://www.moneycontrol.com/india/stockpricequote/miningminerals/vedanta/SG,SG,miningminerals,vedanta,234.11,1945.0,8.15,19.52,1.0,15.1,88748.07,1,8.79,12.23,1.02,MINING & MINERALS
98,http://www.moneycontrol.com/india/stockpricequote/diversified/voltas/V,V,diversified,voltas,105.36,350.0,0.67,15.15,1.0,22.07,17220.9,1,33.09,34.35,4.94,DIVERSIFIED
99,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/wipro/W,W,computerssoftware,wipro,95.95,200.0,1.5,15.87,2.0,21.82,129893.95,1,14.87,16.81,2.78,COMPUTERS - SOFTWARE
