,LINK,company_code,company_category,company_name
165,http://www.moneycontrol.com/india/stockpricequote/fertilisers/gujaratnarmadavalleyfertilizerschemicals/GNV,GNV,fertilisers,gujaratnarmadavalleyfertilizerschemicals
166,http://www.moneycontrol.com/india/stockpricequote/cigarettes/godfreyphillipsindia/GPI,GPI,cigarettes,godfreyphillipsindia
167,http://www.moneycontrol.com/india/stockpricequote/personalcare/godrejconsumerproducts/GCP,GCP,personalcare,godrejconsumerproducts
168,http://www.moneycontrol.com/india/stockpricequote/personalcare/godrejindustries/GI23,GI23,personalcare,godrejindustries
169,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/godrejproperties/GP11,GP11,constructioncontractingrealestate,godrejproperties
170,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/granulesindia/GI25,GI25,pharmaceuticals,granulesindia
171,http://www.moneycontrol.com/india/stockpricequote/diversified/grasimindustries/GI01,GI01,diversified,grasimindustries
172,http://www.moneycontrol.com/india/stockpricequote/engines/greavescotton/GC20,GC20,engines,greavescotton
173,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/greenplyindustries/GI19,GI19,miscellaneous,greenplyindustries
174,http://www.moneycontrol.com/india/stockpricequote/abrasives/grindwellnorton/GN,GN,abrasives,grindwellnorton
175,http://www.moneycontrol.com/india/stockpricequote/financehousing/gruhfinance/GRU,GRU,financehousing,gruhfinance
176,http://www.moneycontrol.com/india/stockpricequote/fertilisers/gujaratstatefertilizerschemicals/GSF,GSF,fertilisers,gujaratstatefertilizerschemicals
177,http://www.moneycontrol.com/india/stockpricequote/chemicals/gujaratalkalieschemicals/GAC01,GAC01,chemicals,gujaratalkalieschemicals
178,http://www.moneycontrol.com/india/stockpricequote/chemicals/gujaratfluorochemicals/GF07,GF07,chemicals,gujaratfluorochemicals
179,http://www.moneycontrol.com/india/stockpricequote/chemicals/gujaratheavychemicals/GHC,GHC,chemicals,gujaratheavychemicals
180,http://www.moneycontrol.com/india/stockpricequote/miningminerals/gujaratmineraldevelopmentcorporation/GMD,GMD,miningminerals,gujaratmineraldevelopmentcorporation
181,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gujaratstatepetronet/GSP02,GSP02,oildrillingandexploration,gujaratstatepetronet
182,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gujaratgas/GGC,GGC,oildrillingandexploration,gujaratgas
183,http://www.moneycontrol.com/india/stockpricequote/shipping/gujaratpipavavport/GPP03,GPP03,shipping,gujaratpipavavport
184,http://www.moneycontrol.com/india/stockpricequote/lubricants/gulfoillubricantsindia/GOL01,GOL01,lubricants,gulfoillubricantsindia
185,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/hathwaycabledatacom/HCD,HCD,mediaentertainment,hathwaycabledatacom
186,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/hatsunagroproducts/HAP,HAP,foodprocessing,hatsunagroproducts
187,http://www.moneycontrol.com/india/stockpricequote/electricequipment/havellsindia/HI01,HI01,electricequipment,havellsindia
