,LINK,company_code,company_category,company_name,BOOK VALUE (Rs),DIV (%),DIV YIELD.(%),EPS (TTM),FACE VALUE (Rs),INDUSTRY P/E,MARKET CAP (Rs Cr),Market Lot,P/C,P/E,PRICE/BOOK,sector
68,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/nhpc/N07,N07,powergenerationdistribution,nhpc,28.95,18.00%,6.96%,2.69,10.00,11.73,"26,520.34",1,6.37,9.61,0.89,POWER - GENERATION & DISTRIBUTION
69,http://www.moneycontrol.com/india/stockpricequote/miningminerals/nmdc/NMD02,NMD02,miningminerals,nmdc,83.20,515.00%,4.56%,12.03,1.00,15.10,"35,751.96",1,8.80,9.39,1.36,MINING & MINERALS
70,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/ntpc/NTP,NTP,powergenerationdistribution,ntpc,129.25,47.80%,3.06%,12.54,10.00,11.73,"128,670.47",1,7.38,12.44,1.21,POWER - GENERATION & DISTRIBUTION
71,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/oberoirealty/OR,OR,constructioncontractingrealestate,oberoirealty,131.39,20.00%,0.40%,12.28,10.00,30.60,"17,192.36",1,37.64,41.23,3.85,CONSTRUCTION & CONTRACTING - REAL ESTATE
72,http://www.moneycontrol.com/india/stockpricequote/cementmajor/oclindia/OCL,OCL,cementmajor,oclindia,488.16,250.00%,0.43%,74.21,2.00,36.29,"6,679.52",1,11.32,15.82,2.40,CEMENT - MAJOR
73,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/oilindia/OI13,OI13,oildrillingandexploration,oilindia,255.93,95.00%,4.29%,23.51,10.00,11.73,"25,104.07",1,6.37,9.41,0.86,OIL DRILLING AND EXPLORATION
74,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/oilnaturalgascorporation/ONG,ONG,oildrillingandexploration,oilnaturalgascorporation,160.12,121.00%,3.66%,15.54,5.00,11.73,"212,325.88",1,6.17,10.65,1.03,OIL DRILLING AND EXPLORATION
75,http://www.moneycontrol.com/india/stockpricequote/personalcare/proctergamblehygienehealthcare/PGH,PGH,personalcare,proctergamblehygienehealthcare,162.08,3890.00%,4.00%,125.71,10.00,66.23,"31,595.01",1,67.54,77.43,60.05,PERSONAL CARE
76,http://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/pcjeweller/PJ,PJ,diamondcuttingjewellerypreciousmetals,pcjeweller,70.83,10.00%,0.64%,14.38,10.00,24.92,"6,208.93",1,10.56,10.95,2.22,DIAMOND CUTTING & JEWELLERY & PRECIOUS METALS
77,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/petronetlng/PLN,PLN,oildrillingandexploration,petronetlng,53.88,25.00%,1.18%,13.85,10.00,15.50,"31,770.00",1,12.76,15.29,3.93,OIL DRILLING AND EXPLORATION
78,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/powergridcorporationindia/PGC,PGC,powergenerationdistribution,powergridcorporationindia,110.95,10.00%,0.50%,15.75,10.00,14.41,"103,847.05",1,5.99,12.60,1.79,POWER - GENERATION & DISTRIBUTION
79,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/prestigeestatesprojects/PEP02,PEP02,constructioncontractingrealestate,prestigeestatesprojects,132.66,12.00%,0.44%,6.19,10.00,30.60,"10,325.63",1,35.90,44.48,2.08,CONSTRUCTION & CONTRACTING - REAL ESTATE
80,http://www.moneycontrol.com/india/stockpricequote/cementmajor/prismjohnson/PC,PC,cementmajor,prismjohnson,20.38,0.00%,-%,1.40,10.00,36.29,"5,476.52",1,24.50,77.71,5.34,CEMENT - MAJOR
81,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/reliancecapital/RC,RC,financeinvestments,reliancecapital,574.93,105.00%,2.50%,33.00,10.00,36.62,"10,624.97",1,12.43,12.74,0.73,FINANCE - INVESTMENTS
82,http://www.moneycontrol.com/india/stockpricequote/shipping/shippingcorporationindia/SCI,SCI,shipping,shippingcorporationindia,152.88,0.00%,-%,5.45,10.00,18.22,"3,067.29",1,3.55,12.08,0.43,SHIPPING
83,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/siemens/S,S,infrastructuregeneral,siemens,216.35,350.00%,0.70%,33.61,2.00,37.67,"35,526.56",1,25.49,29.68,4.61,INFRASTRUCTURE - GENERAL
84,http://www.moneycontrol.com/india/stockpricequote/chemicals/solarindustriesindia/SII04,SII04,chemicals,solarindustriesindia,87.62,250.00%,0.42%,14.84,2.00,73.28,"10,776.01",1,67.20,80.25,13.59,CHEMICALS
85,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/southindianbank/SIB,SIB,banksprivatesector,southindianbank,25.43,40.00%,1.66%,1.85,1.00,32.64,"4,369.94",1,13.05,13.05,0.95,BANKS - PRIVATE SECTOR
86,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/spicejet/SJ01,SJ01,transportlogistics,spicejet,-0.71,0.00%,-%,9.45,10.00,19.25,"6,674.88",1,8.37,11.78,-,TRANSPORT & LOGISTICS
87,http://www.moneycontrol.com/india/stockpricequote/chemicals/tatachemicals/TC,TC,chemicals,tatachemicals,416.96,110.00%,1.49%,69.36,10.00,9.86,"18,794.64",1,9.93,10.64,1.77,CHEMICALS
88,http://www.moneycontrol.com/india/stockpricequote/steelspongeiron/tataspongeiron/TSI,TSI,steelspongeiron,tataspongeiron,653.06,110.00%,1.00%,91.47,10.00,9.66,"1,691.38",1,11.04,12.01,1.68,STEEL - SPONGE IRON
89,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/titancompany/TI01,TI01,miscellaneous,titancompany,61.67,260.00%,0.29%,13.10,1.00,68.71,"80,215.92",1,63.05,68.97,14.65,MISCELLANEOUS
90,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/torrentpower/TP14,TP14,powergenerationdistribution,torrentpower,162.42,22.00%,0.87%,19.18,10.00,11.73,"12,169.22",1,5.99,13.20,1.56,POWER - GENERATION & DISTRIBUTION
91,http://www.moneycontrol.com/india/stockpricequote/retail/trent/T04,T04,retail,trent,49.88,100.00%,0.31%,3.51,1.00,71.87,"10,801.96",1,68.14,92.61,6.52,RETAIL
92,http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/trident/AI01,AI01,textilesspinningcottonblended,trident,58.64,15.00%,2.41%,5.18,10.00,14.46,"3,174.78",1,4.76,12.03,1.06,TEXTILES - SPINNING - COTTON BLENDED
93,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/tv18broadcast/IBN,IBN,mediaentertainment,tv18broadcast,22.13,0.00%,-%,0.56,2.00,35.36,"9,874.71",1,85.97,102.86,2.60,MEDIA & ENTERTAINMENT
94,http://www.moneycontrol.com/india/stockpricequote/auto23wheelers/tvsmotorcompany/TVS,TVS,auto23wheelers,tvsmotorcompany,64.64,250.00%,0.43%,13.95,1.00,22.15,"27,638.19",1,27.60,41.70,9.00,AUTO - 2 & 3 WHEELERS
95,http://www.moneycontrol.com/india/stockpricequote/electricequipment/vguardindustries/VI02,VI02,electricequipment,vguardindustries,14.96,70.00%,0.33%,3.13,1.00,47.97,"9,074.17",1,59.69,68.08,14.24,ELECTRIC EQUIPMENT
96,http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/vardhmantextiles/VT10,VT10,textilesspinningcottonblended,vardhmantextiles,694.17,150.00%,1.23%,95.01,10.00,14.46,"6,991.05",1,9.03,12.81,1.75,TEXTILES - SPINNING - COTTON BLENDED
97,http://www.moneycontrol.com/india/stockpricequote/miningminerals/vedanta/SG,SG,miningminerals,vedanta,234.11,1945.00%,8.15%,19.52,1.00,15.10,"88,748.07",1,8.79,12.23,1.02,MINING & MINERALS
98,http://www.moneycontrol.com/india/stockpricequote/diversified/voltas/V,V,diversified,voltas,105.36,350.00%,0.67%,15.15,1.00,22.07,"17,220.90",1,33.09,34.35,4.94,DIVERSIFIED
99,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/wipro/W,W,computerssoftware,wipro,95.95,200.00%,1.50%,15.87,2.00,21.82,"129,893.95",1,14.87,16.81,2.78,COMPUTERS - SOFTWARE
